generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.12561107250480513,93.9,0.4926,0.45740000000000003,0.4716,0.49660000000000004,0.4984,0.5298,0.0,17.68,285.68,367.06,0.0,13.36,0
1,0.05300557361222966,130.98,0.5138108116082472,0.6654957025492909,0.7856048587955767,0.5030933069420731,0.3072433926227885,0.5026553244828601,0.0,0.96,516.22,522.18,0.0,2.32,0
2,0.05959533154592366,187.42,0.3765181346795202,0.6855546053743103,0.7708316646743049,0.7022650287130113,0.2915774274663505,0.6148670685569325,0.0,2.06,717.24,778.58,0.0,5.04,0
3,0.05731664168439371,73.16,0.4290150014098991,0.6778916891937894,0.7828793167111019,0.6920367185563485,0.29506815456928187,0.627001867669789,0.0,1.06,285.02,297.2,0.0,1.82,0
4,0.08040153337488253,252.52,0.5066480125226314,0.6894378160827571,0.7421232885273086,0.6418826380315886,0.33291852493196133,0.6530540221806277,0.0,1.3,996.82,1013.14,0.0,2.54,0
5,0.1307667466400998,269.86,0.78590015690066,0.7189287007773777,0.6003482769920074,0.5627626263653596,0.4506389681370601,0.7401532371177657,0.0,0.58,1062.68,1101.42,0.0,0.68,0
6,0.1303048940248696,189.9,0.8828406871187329,0.742375464666909,0.5580940980454716,0.5048960230709082,0.4961826773989229,0.7697983271386154,0.0,1.66,750.86,765.78,0.0,0.88,0
7,0.19736629319012355,111.96,0.8259892506272002,0.728036317684269,0.5407419371016453,0.5180293349058512,0.50331222804775,0.8032727204188536,0.0,2.76,430.46,452.52,0.0,1.72,0
8,0.12451879395920593,141.28,0.8365933241832646,0.7269262171225088,0.7715833536961447,0.3695616373415913,0.36754173643277194,0.7253695439761342,0.0,2.56,551.04,566.48,0.0,1.24,0
9,0.0763477039659562,113.02,0.8773325199711735,0.6562094177844018,0.8469260663819318,0.3818936619236517,0.4279307884521242,0.6637630968891881,0.0,1.0,448.24,451.44,0.0,0.56,0
10,0.06895693584037843,72.2,0.8201510100590101,0.6347091006840742,0.8160227826140573,0.41300554037017034,0.4458616648497797,0.7131762592778004,0.0,1.3,282.2,286.22,0.0,0.46,0
11,0.07264324025111106,115.58,0.8168859480817916,0.232169732667444,0.864377253219206,0.7917476980783213,0.5099051028155571,0.7908581695865005,0.0,3.26,435.18,462.7,0.0,0.78,0
12,0.08258713379494535,79.06,0.7923944793029716,0.6946846882040495,0.7965762648774816,0.40720427174362084,0.395191308952333,0.6563925002400623,0.0,5.04,292.18,308.58,0.0,4.2,0
13,0.0730855983329936,120.32,0.8262065940744746,0.6785705847788308,0.8442911614862862,0.37881665154967364,0.3583633259713903,0.7118495268987369,0.0,1.44,474.78,479.62,0.0,0.86,0
14,0.08815728372038151,45.64,0.9129897247892015,0.7301243582866153,0.8751631086856938,0.3525051103929951,0.3821172622624296,0.7030399287398711,0.0,0.6,179.66,183.36,0.0,0.22,0
15,0.05205848623964503,81.38,0.8859502769864878,0.7102800200102501,0.8189398697822053,0.3730264769638875,0.38189873881362907,0.6814320646784183,0.0,2.06,317.16,324.38,0.0,1.5,0
16,0.08617360066751982,79.78,0.8419582811495719,0.6758645609272129,0.8403892681520684,0.3940268422039215,0.4037434583608788,0.6981778447467399,0.0,1.4,313.52,321.12,0.0,0.9,0
17,0.08713470451347945,59.66,0.8747177798391099,0.7135588683818362,0.8692410008343908,0.3488072739539807,0.4083138486259047,0.6699924097731572,0.0,2.68,226.68,237.62,0.0,2.12,0
18,0.0564435852164318,100.84,0.8731705140945982,0.7085247498216954,0.861476149429904,0.3668348527126672,0.3901848913260873,0.6826415615279225,0.0,1.92,391.4,406.72,0.0,1.26,0
