generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.1285166495199389,122.64,0.4556,0.49,0.4424,0.5256000000000001,0.5444,0.5836,0.0,12.52,396.64,496.4,0.0,10.6,0
1,0.16187343631922554,189.8,0.5761685986602619,0.4664866073240287,0.5964752288811804,0.5026303292623352,0.5741534774707893,0.5720161126279935,0.0,8.12,692.92,764.24,0.0,5.64,0
2,0.15068931666238597,63.08,0.5677383491422365,0.6787461759771487,0.6319853240500706,0.33872342488841606,0.5109448262066983,0.6316184514712472,0.0,11.56,190.92,265.36,0.0,10.52,0
3,0.24449048138634638,71.28,0.7486821985017719,0.7595169493798641,0.6505520506695912,0.4422218885058873,0.45063945692938007,0.6901926116711672,0.0,9.2,241.16,268.72,0.0,6.2,0
4,0.3046936989345519,44.36,0.6659009128112165,0.6519204774754498,0.5783170321531886,0.37695304299039606,0.4823902561937621,0.7036726416466675,0.0,5.64,153.56,172.16,0.0,3.12,0
5,0.32006944195101555,144.08,0.5929517047741,0.6508735307307402,0.586024448120456,0.5044817171541456,0.40626274562462533,0.47356507547911336,0.0,8.52,535.56,572.48,0.0,6.64,0
6,0.31779463330556784,152.92,0.6192573368132129,0.6379486637829676,0.6441700872640044,0.4274932882547423,0.4034480280142192,0.6274638606503882,0.0,8.6,556.84,619.16,0.0,7.4,0
7,0.36522219446651993,169.36,0.5309347710319384,0.732781909664405,0.67467962471481,0.35965724365732477,0.5135471616787973,0.81264675157576,0.0,4.16,646.48,678.8,0.0,3.0,0
8,0.39936002991520114,175.2,0.4142253386405391,0.6949045439778891,0.5150671486509872,0.2176529349485911,0.8071884037350707,0.7535648111978621,0.0,6.24,664.12,711.92,0.0,6.48,0
9,0.39465664167817366,359.56,0.3934503273067434,0.6152378763868218,0.5067289082452373,0.34801183673841046,0.7186363239800818,0.6474257900469899,0.0,6.96,1389.36,1419.6,0.0,12.76,0
10,0.3660979973849499,168.28,0.3888163555159644,0.6530845143600995,0.5546101553084326,0.23594948369282523,0.7366100910422381,0.6859309394629735,0.0,4.04,633.92,693.96,0.0,5.76,0
11,0.385320273130529,115.6,0.4198743754782373,0.6586930529732484,0.47940496182518394,0.32739493349097626,0.7078570167043629,0.7012567256228671,0.0,6.96,412.92,460.88,0.0,6.8,0
12,0.3612080915310047,153.64,0.4164559135915358,0.6437333360464248,0.6083330677749929,0.3623231220070036,0.7559531807958366,0.782630058919303,0.0,1.64,589.28,638.72,0.0,4.68,0
13,0.4816908931884527,118.92,0.4795101166068382,0.5745876732251789,0.5355545744576942,0.32697174420273034,0.680556870368884,0.6420141463240258,0.0,6.08,444.0,483.24,0.0,4.48,0
14,0.5187902994881946,215.52,0.45328321545954986,0.6539570574576483,0.4872908805546776,0.37085110655578946,0.6637334985728351,0.6103774838125707,0.0,12.36,783.04,829.16,0.0,12.44,0
15,0.45326746251803796,283.52,0.42959048565085317,0.615614276840885,0.5013088106602677,0.34206563868957923,0.7435015204580702,0.7137808335838423,0.0,4.96,1099.76,1133.88,0.0,5.96,0
16,0.5279609725974506,272.44,0.6770297061991513,0.5497895369120901,0.49728676330354654,0.4851653066757658,0.587793622669122,0.5660254611664207,0.0,7.2,1056.36,1098.52,0.0,4.12,0
17,0.5334193642953827,89.16,0.7740437300900413,0.6491333928881409,0.5313371959962411,0.35851166040810634,0.5922063007526853,0.5219081966587248,0.0,3.52,335.56,358.48,0.0,2.12,0
18,0.5291904683005169,97.08,0.7975743603950121,0.7007676661562507,0.5864466630232237,0.30968397534436737,0.6556744944423306,0.5890564749331658,0.0,2.8,366.28,390.36,0.0,1.68,0
19,0.5444714931980845,175.08,0.7414498467380725,0.6403094633666374,0.524876932830969,0.37827382902239665,0.6309552646361455,0.5713021816496258,0.0,3.68,680.96,705.36,0.0,2.6,0
20,0.4916847684013569,158.16,0.7439917009728059,0.6238871743225975,0.562647247369661,0.3564811030325231,0.5521874868698398,0.5776025195601293,0.0,3.2,602.96,648.96,0.0,1.08,0
21,0.5600977460908324,222.04,0.7152862916560018,0.6965375949800225,0.5343075322105779,0.3745610218536434,0.600022141794946,0.4972235834716347,0.0,11.88,821.56,897.4,0.0,6.64,0
22,0.5254385596473622,150.08,0.6689870813726541,0.5778829189826051,0.5585738558060848,0.43911515406213786,0.5989148032591382,0.5265527945386783,0.0,4.88,547.8,636.8,0.0,2.64,0
23,0.574652448067919,164.0,0.7886044266783272,0.5572284010353243,0.4606738290451367,0.45357048343400835,0.47729749325018445,0.5809045999131346,0.0,9.32,601.72,643.16,0.0,5.52,0
