lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
a758ce2d-1a2,generation_-1,cd254902,0.0,0.0,0.0,0,,0.19,0.9,0.63,0.79,0.69,0.69,0,0,0,0,0,0,0
a758ce2d-1a2,generation_0,cd254902,-0.043333333333333335,0.033333333333333326,0.0,3,0.0,0.19,0.9,0.63,0.79,0.69,0.69,0,0,12,15,0,0,0
2ddaea16-55f,generation_-1,5c0fa2ec,0.0,0.0,0.0,0,,0.97,0.59,0.6,0.14,0.17,0.0,0,0,0,0,0,0,0
2ddaea16-55f,generation_0,5c0fa2ec,0.26950138504155124,0.13069252077562324,0.0,361,0.0,0.97,0.59,0.6,0.14,0.17,0.0,0,0,1506,1305,0,0,0
2ddaea16-55f,generation_1,3dc9bfd7,0.22204533000120436,0.2073515295676261,0.0,184,1.0,0.97,0.59,0.6,0.14,0.17,0.0,0,0,1182,388,0,0,0
2ddaea16-55f,generation_1,caf78c33,0.2677449324324324,0.1304222972972973,0.2073515295676261,592,4.0,0.905,0.7,0.715,0.36,0.295,0.175,0,0,2377,2368,0,0,0
2ddaea16-55f,generation_2,9e2c06d4,0.2838405797101449,0.13289855072463766,0.0,69,0.0,0.585,0.6299999999999999,0.72,0.2425,0.3925,0.2925,0,0,219,273,0,0,0
2ddaea16-55f,generation_2,81afa9dc,0.12522727272727271,0.07772727272727271,0.13289855072463766,22,2.0,0.5225,0.5325,0.7675000000000001,0.3475,0.385,0.275,0,0,82,92,0,0,0
2ddaea16-55f,generation_2,104a172e,0.284578313253012,0.13301204819277104,0.1053129117259552,83,4.0,0.97,0.59,0.6,0.14,0.17,0.0,0,0,312,323,0,0,0
2ddaea16-55f,generation_3,e6936e26,0.20176136363636366,0.10488636363636361,0.0,440,0.0,0.46143297562810726,0.6579721031096855,0.6916250189176288,0.44983704518255596,0.34179131696677767,0.4864994184354795,0,11,1915,1556,0,0,0
2ddaea16-55f,generation_3,cfe98ca7,-0.033528985507246395,0.13294202898550722,0.10488636363636361,3,1.0,0.585,0.6299999999999999,0.72,0.2425,0.3925,0.2925,0,0,16,16,0,0,0
2ddaea16-55f,generation_3,a8bbf818,0.21444633730834756,0.10991482112436114,0.11891419631093542,587,1.0,0.6539329756281073,0.6379721031096854,0.6316250189176289,0.398587045182556,0.23054131696677765,0.3402494184354795,0,0,3197,1816,0,0,0
2ddaea16-55f,generation_3,f6084eb9,0.21445561139028477,0.10991624790619765,0.11591440458207732,597,1.0,0.71625,0.6275,0.69,0.3175,0.36,0.32625,0,0,2399,2384,0,0,0
2ddaea16-55f,generation_3,7b4e6fd2,0.2679478458049887,0.130453514739229,0.1144148654131074,441,1.0,0.53375,0.43875,0.7075,0.2175,0.28250000000000003,0.15375,0,0,1799,1632,0,0,0
2ddaea16-55f,generation_3,c1c64dae,0.033750000000000016,0.05749999999999998,0.11762259527833172,4,4.0,0.72875,0.46499999999999997,0.66125,0.275,0.47875,0.365,1,0,17,15,0,0,0
2ddaea16-55f,generation_3,1b4447b5,-0.043333333333333335,0.033333333333333326,0.1076021627319431,3,4.0,0.6539329756281073,0.6379721031096854,0.6316250189176289,0.398587045182556,0.23054131696677765,0.3402494184354795,0,0,14,12,0,0,0
2ddaea16-55f,generation_3,02fa2ed5,0.04276369863013697,0.15552739726027393,0.09699232996071314,4,5.0,0.5725,0.49,0.77,0.37,0.715,0.6175,1,0,16,15,0,0,0
