lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
e9880a7b-dfa,generation_-1,e9ea3ddd,0.0,0.0,0.0,0,,0.86,0.1,0.05,0.43,0.96,0.07,0,0,0,0,0,0,0
e9880a7b-dfa,generation_0,e9ea3ddd,0.001999999999999995,0.02799999999999999,0.0,25,0.0,0.86,0.1,0.05,0.43,0.96,0.07,23,5,119,0,0,0,0
4d379120-b6e,generation_-1,d7376b7d,0.0,0.0,0.0,0,,0.97,0.29,0.23,0.39,0.31,0.95,0,0,0,0,0,0,0
4d379120-b6e,generation_0,d7376b7d,0.05145833333333334,0.047916666666666656,0.0,24,0.0,0.97,0.29,0.23,0.39,0.31,0.95,23,12,95,0,0,0,0
79eb08ca-a31,generation_-1,ae62679c,0.0,0.0,0.0,0,,0.73,1.0,0.36,0.01,0.73,0.69,0,0,0,0,0,0,0
79eb08ca-a31,generation_0,ae62679c,0.1564473684210526,0.08868421052631575,0.0,38,0.0,0.73,1.0,0.36,0.01,0.73,0.69,33,22,158,9,0,0,0
d8ef17aa-3c7,generation_-1,1f9db867,0.0,0.0,0.0,0,,0.77,0.93,0.6,0.94,0.9,0.37,0,0,0,0,0,0,0
d8ef17aa-3c7,generation_0,1f9db867,0.1604225352112676,0.0892957746478873,0.0,71,0.0,0.77,0.93,0.6,0.94,0.9,0.37,0,0,289,277,0,0,0
fde21cc5-300,generation_-1,cfadc615,0.0,0.0,0.0,0,,0.91,0.58,0.43,0.13,0.14,0.75,0,0,0,0,0,0,0
fde21cc5-300,generation_0,cfadc615,0.21708333333333332,0.11237179487179484,0.0,52,1.0,0.91,0.58,0.43,0.13,0.14,0.75,45,32,223,12,0,0,0
59ac1126-ae1,generation_-1,c0319119,0.0,0.0,0.0,0,,0.87,0.66,0.82,0.83,0.78,0.73,0,0,0,0,0,0,0
59ac1126-ae1,generation_0,c0319119,0.2717708333333333,0.13104166666666664,0.0,240,1.0,0.87,0.66,0.82,0.83,0.78,0.73,0,0,800,955,0,0,0
161f7e4d-247,generation_-1,c45baa0d,0.0,0.0,0.0,0,,0.78,0.76,0.99,0.45,0.73,0.97,0,0,0,0,0,0,0
161f7e4d-247,generation_0,c45baa0d,-0.014545454545454549,0.025454545454545445,0.0,11,1.0,0.78,0.76,0.99,0.45,0.73,0.97,0,0,41,45,0,0,0
ef832652-011,generation_-1,153ba3e3,0.0,0.0,0.0,0,,0.69,0.7,0.83,0.24,0.7,0.78,0,0,0,0,0,0,0
ef832652-011,generation_0,153ba3e3,0.2127586206896552,0.10965517241379309,0.0,145,1.0,0.69,0.7,0.83,0.24,0.7,0.78,1,0,540,578,0,0,0
c7fc3eb6-0a1,generation_-1,de5452e3,0.0,0.0,0.0,0,,0.48,0.81,0.48,0.45,0.72,0.29,0,0,0,0,0,0,0
c7fc3eb6-0a1,generation_0,de5452e3,0.13226190476190477,0.0788095238095238,0.0,42,2.0,0.48,0.81,0.48,0.45,0.72,0.29,39,36,186,3,0,0,0
106cc052-6ce,generation_-1,2c2692ce,0.0,0.0,0.0,0,,0.82,0.99,0.18,0.35,0.49,0.75,0,0,0,0,0,0,0
106cc052-6ce,generation_0,2c2692ce,0.10597222222222223,0.0686111111111111,0.0,36,2.0,0.82,0.99,0.18,0.35,0.49,0.75,32,13,121,5,0,0,0
8d813e95-10e,generation_-1,204377cb,0.0,0.0,0.0,0,,0.99,0.03,0.51,0.67,0.05,0.73,0,0,0,0,0,0,0
8d813e95-10e,generation_0,204377cb,0.10484375000000001,0.06843749999999998,0.0,32,2.0,0.99,0.03,0.51,0.67,0.05,0.73,2,0,158,100,0,0,0
ce26eaea-0a8,generation_-1,024b6110,0.0,0.0,0.0,0,,0.27,0.27,0.66,0.36,0.4,0.78,0,0,0,0,0,0,0
ce26eaea-0a8,generation_0,024b6110,0.27613013698630134,0.13171232876712327,0.0,146,2.0,0.27,0.27,0.66,0.36,0.4,0.78,3,3,574,539,0,0,0
ce26eaea-0a8,generation_1,43ef217d,-0.08822945205479452,0.12354109589041096,0.0,2,5.0,0.27,0.27,0.66,0.36,0.4,0.78,0,0,12,11,0,0,0
9724ef35-477,generation_-1,ae604127,0.0,0.0,0.0,0,,0.18,0.53,0.14,0.12,0.77,0.18,0,0,0,0,0,0,0
