generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.12734791674418955,52.08,0.6252,0.49200000000000005,0.5132,0.43200000000000005,0.5716,0.53,0.0,18.6,123.32,176.48,0.0,15.44,0
1,0.15340894460657267,98.4,0.5354417530190134,0.405669450229156,0.580670481400444,0.5186353609274026,0.5487947818805459,0.4342002294748583,0.0,8.68,341.52,397.68,0.0,7.6,0
2,0.1449926831106555,123.0,0.44546379923902,0.5126270463739698,0.47453612644985904,0.45726496722547566,0.4790148021253307,0.5097476024731069,0.0,12.44,409.56,494.4,0.0,7.68,0
3,0.17877391505275353,69.68,0.4221669448918396,0.46978046267033735,0.5306595686779987,0.5482066130913893,0.41341620660758566,0.5050220035268285,0.0,10.32,225.24,266.44,0.0,8.48,0
4,0.19216611282226043,371.16,0.3173017237802632,0.5367953065839258,0.4253844702129893,0.5605321406865549,0.5643499147397895,0.5277863397809766,0.0,45.2,362.08,680.52,0.0,740.84,0
5,0.21750575649789597,137.88,0.4098678989208031,0.5000959204236475,0.4735578240736544,0.47516313342341543,0.5566121609338857,0.5412364067994946,0.0,15.4,453.72,543.08,0.0,13.76,0
6,0.23818241958344025,104.44,0.4298077817262862,0.5159104467923465,0.5856662117335898,0.43897581961171384,0.4580256658962295,0.5743271550081405,0.0,4.8,392.44,420.44,0.0,3.0,0
7,0.2278578504539368,92.8,0.5447199814050784,0.5491487881153396,0.5747210009340007,0.65372448261296,0.4852421290953171,0.48223576323908957,0.0,9.72,313.28,346.72,0.0,8.92,0
8,0.29868443839465153,112.64,0.5001681670254674,0.6134846322606965,0.41430345996111595,0.5273697967660027,0.463363557009322,0.5743326242368592,0.0,17.84,357.84,425.56,0.0,16.84,0
9,0.3147994628214881,73.88,0.32010282310868843,0.32496958811535237,0.523023740801768,0.4713754079777212,0.45220795652723617,0.5114319139952899,0.0,7.56,248.8,298.56,0.0,3.8,0
10,0.32896106742527176,96.24,0.47282057740062017,0.5054517065455495,0.5027315186029792,0.34785360760523687,0.49098426446488913,0.41850798601659583,0.0,10.52,318.6,382.52,0.0,7.8,0
11,0.3879946593485714,111.56,0.6277994775859927,0.5780569884246836,0.4618092513450193,0.6348860260288258,0.5347801148170421,0.37256910319980974,0.0,14.92,379.08,431.64,0.0,9.56,0
12,0.3708986327032225,80.76,0.5396592976443176,0.5374387485456161,0.46274463290753026,0.5951761176357976,0.5709527882418187,0.44541526047735397,0.0,9.28,266.48,304.32,0.0,5.8,0
13,0.3009862622730786,63.72,0.5750336202922192,0.49762489369986285,0.3805153392211057,0.4450471465016929,0.5446923421206806,0.4962449073874551,0.0,20.88,152.24,199.64,0.0,23.24,0
14,0.3169383998789389,99.04,0.6289299145158712,0.49068811650868804,0.58252771775969,0.43190199955712927,0.6637036829645281,0.561306034165226,0.0,7.28,356.6,395.4,0.0,3.8,0
15,0.307662289523582,85.88,0.4313602314248295,0.46554174181639046,0.5789569486357794,0.43756761946119477,0.43540220802911134,0.5946455274513979,0.0,4.08,300.84,345.88,0.0,3.92,0
16,0.3072419532762814,101.64,0.4426490263230438,0.4969914095915874,0.4951597049759574,0.43187198084058737,0.6581226818387944,0.537892961337187,0.0,12.76,326.0,369.24,0.0,9.12,0
17,0.31252323696836604,95.36,0.46236760636686675,0.5804352271681964,0.6326156828866975,0.43414110283845764,0.4876065939244815,0.5255690715609787,0.0,5.08,328.0,432.28,0.0,2.8,0
18,0.4169655370691969,121.28,0.4753229420264393,0.5444546231573493,0.4915751569785426,0.46664320370368506,0.4995871520774439,0.5222438158016637,0.0,11.24,420.88,483.04,0.0,8.52,0
