lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
60509553-50b,generation_-1,94b09566,0.0,0.0,0.0,0,,0.93,0.97,0.69,0.98,0.96,0.75,0,0,0,0,0,0,0
60509553-50b,generation_0,94b09566,0.29546875,0.1346875,0.0,64,0.0,0.93,0.97,0.69,0.98,0.96,0.75,0,0,13,196,0,0,0
60509553-50b,generation_1,a2100d03,0.23595210727969346,0.21558237547892714,0.0,58,1.0,0.43,0.25,0.86,0.68,0.84,0.41,2,1,233,214,0,0,0
60509553-50b,generation_1,b79ac078,0.029180803571428555,0.14407589285714284,0.21558237547892714,7,2.0,0.93,0.97,0.69,0.98,0.96,0.75,0,0,30,26,0,0,0
60509553-50b,generation_1,427b1bf0,0.27379091591591587,0.2296088588588588,0.17982913416803498,296,5.0,0.43,0.25,0.86,0.68,0.84,0.41,1,9,1195,1124,0,0,0
7f502e43-dec,generation_-1,d1a690b2,0.0,0.0,0.0,0,,0.81,0.55,0.22,1.0,0.07,0.33,0,0,0,0,0,0,0
7f502e43-dec,generation_0,d1a690b2,0.05086956521739131,0.04782608695652173,0.0,23,0.0,0.81,0.55,0.22,1.0,0.07,0.33,22,16,79,2,0,0,0
e505af0b-9ff,generation_-1,e6e0d47c,0.0,0.0,0.0,0,,0.91,0.6,0.94,0.68,0.42,0.57,0,0,0,0,0,0,0
e505af0b-9ff,generation_0,e6e0d47c,0.21093750000000003,0.10937499999999997,0.0,80,0.0,0.91,0.6,0.94,0.68,0.42,0.57,0,0,274,317,0,0,0
87571f47-d9f,generation_-1,848f8c1d,0.0,0.0,0.0,0,,0.52,0.49,0.44,0.35,0.37,0.39,0,0,0,0,0,0,0
87571f47-d9f,generation_0,848f8c1d,0.15451612903225806,0.08838709677419353,0.0,31,0.0,0.52,0.49,0.44,0.35,0.37,0.39,28,12,136,2,0,0,0
ea4b068d-291,generation_-1,985618f2,0.0,0.0,0.0,0,,0.94,0.15,0.32,0.58,0.32,0.74,0,0,0,0,0,0,0
ea4b068d-291,generation_0,985618f2,0.005151515151515148,0.028484848484848477,0.0,33,1.0,0.94,0.15,0.32,0.58,0.32,0.74,32,10,76,0,0,0,0
dc322bd3-4d4,generation_-1,e5984390,0.0,0.0,0.0,0,,0.89,0.36,0.64,0.84,0.15,0.88,0,0,0,0,0,0,0
dc322bd3-4d4,generation_0,e5984390,-0.05,0.019999999999999993,0.0,5,1.0,0.89,0.36,0.64,0.84,0.15,0.88,0,0,22,18,0,0,0
4014beee-6fd,generation_-1,c3c3a592,0.0,0.0,0.0,0,,0.16,0.27,0.29,0.71,0.14,0.93,0,0,0,0,0,0,0
4014beee-6fd,generation_0,c3c3a592,-0.0175,0.024999999999999994,0.0,10,1.0,0.16,0.27,0.29,0.71,0.14,0.93,9,4,35,0,0,0,0
