generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.11064442264503142,205.17333333333335,0.5303999999999999,0.46120000000000005,0.5125333333333332,0.5169333333333334,0.5144,0.4726666666666667,0.0,10.426666666666666,736.3066666666666,817.9733333333334,0.0,7.933333333333334,0
1,0.14359047481848805,147.78666666666666,0.47705870560485486,0.5170467954288727,0.5139133283755732,0.5236744082538622,0.5421761224084967,0.4946131659312606,0.0,9.8,533.8533333333334,587.5733333333334,0.0,8.573333333333334,0
2,0.15556975029007877,141.54666666666665,0.5030997929282253,0.4805837091024847,0.5470604820184296,0.5238443814157683,0.5577971296188323,0.46738925208903076,0.0,11.533333333333333,491.62666666666667,575.32,0.0,7.88,0
3,0.17846839978837303,125.2,0.49572384698857697,0.4838539042810811,0.4828741389330833,0.4708717777709751,0.513565260602994,0.4845470710621386,0.0,10.226666666666667,438.68,508.24,0.0,8.653333333333334,0
4,0.1626304035593301,128.48,0.5464487394712009,0.5426987436123999,0.5404699690351982,0.4638237530031386,0.47497362079372274,0.4980402541548408,0.0,7.946666666666666,447.52,532.96,0.0,5.28,0
5,0.21124489091107995,162.61333333333334,0.5702171101191243,0.516145477082641,0.5147118558059647,0.49861841235580506,0.49698276819409404,0.5219119802167974,0.0,10.053333333333333,583.36,654.16,0.0,8.466666666666667,0
6,0.23745107506079588,135.6,0.5051717191225974,0.5322920169884967,0.5098116869680018,0.4709562755278941,0.5064502243933343,0.498824488849878,0.0,9.093333333333334,482.1333333333333,541.3733333333333,0.0,6.653333333333333,0
7,0.2349917245677673,118.4,0.4635148830401597,0.52336765544466,0.5796780139968821,0.47226056241591674,0.4887580529189013,0.49572537442066655,0.0,7.706666666666667,417.8,469.8666666666667,0.0,5.6,0
8,0.26409195175690864,148.58666666666667,0.5119588346768922,0.5728361199986437,0.6070736954873871,0.46217493806014043,0.524423942652891,0.5378817109869543,0.0,6.8933333333333335,541.36,620.48,0.0,5.373333333333333,0
9,0.295614058282628,226.89333333333335,0.48960383754224285,0.490981813949172,0.5198921869553889,0.5466950697304575,0.5385608449883238,0.507596921965202,0.0,9.666666666666666,841.4,911.44,0.0,8.44,0
10,0.24035449609458884,83.86666666666666,0.47564444256239835,0.5369870050714535,0.5452336777997802,0.49848430122122084,0.5006504029403346,0.48099234111359074,0.0,8.706666666666667,285.2,338.02666666666664,0.0,5.613333333333333,0
11,0.30190093368116044,109.42666666666666,0.49385467293204593,0.47413230536515377,0.5342754162420943,0.524287511771196,0.4666145465416707,0.524169144491013,0.0,10.546666666666667,381.36,423.68,0.0,7.8133333333333335,0
12,0.29958612072368557,170.17333333333335,0.5366288131416822,0.5404735901613972,0.5926950580311428,0.5271469486885727,0.5467599014574376,0.4952552054770589,0.0,6.52,613.3733333333333,674.92,0.0,5.666666666666667,0
13,0.32821843739139467,158.94666666666666,0.45931235660716774,0.430811075647318,0.5626109093179347,0.48820236983205795,0.5227964880310418,0.5695813389266209,0.0,7.8133333333333335,573.88,640.84,0.0,6.626666666666667,0
14,0.3106238505741622,99.78666666666666,0.5178241399000373,0.4650353383503571,0.5842365571794899,0.542481964835942,0.4919544213630015,0.5670168360580617,0.0,6.2,362.0,408.02666666666664,0.0,3.4133333333333336,0
15,0.32813033403701863,85.38666666666667,0.544652641374115,0.5287104774525018,0.5335252526597702,0.5201579570450274,0.4386014287404681,0.4870037298434374,0.0,10.413333333333334,285.6666666666667,336.58666666666664,0.0,8.96,0
16,0.35204068209624884,129.0,0.5163901606681509,0.577251652354988,0.50621074851313,0.480793545735668,0.5333125701397076,0.4889973325652313,0.0,15.786666666666667,424.53333333333336,522.2266666666667,0.0,12.706666666666667,0
17,0.3605800108972618,155.12,0.48224392545036815,0.5498580237524906,0.5796527266216571,0.5067085479089427,0.5662060776023714,0.4750702780022834,0.0,8.8,572.2666666666667,618.16,0.0,6.373333333333333,0
18,0.3677835537262486,139.84,0.5103164914398797,0.5447297785083061,0.5080746196566888,0.49660955917203486,0.5493496093337988,0.4690756105354288,0.0,14.173333333333334,487.46666666666664,541.3866666666667,0.0,13.146666666666667,0
19,0.3514852409075162,207.54666666666665,0.531490301360238,0.5419347726179538,0.5612777765972766,0.5143523000840143,0.48920748425538807,0.48015948548289306,0.0,9.32,751.1866666666666,853.7333333333333,0.0,6.706666666666667,0
20,0.34329360504092965,191.90666666666667,0.5302625106693039,0.47757342664994645,0.5145032150493798,0.5341912202429492,0.5234371670076459,0.492536684395023,0.0,10.92,675.12,791.0666666666667,0.0,8.28,0
21,0.35801876165532237,207.93333333333334,0.5141408280567521,0.556340424045269,0.4713555695502903,0.4460173094929189,0.49658564941616096,0.5316085131823912,0.0,36.68,300.17333333333335,473.46666666666664,0.0,320.04,0
22,0.4279078367372794,210.41333333333333,0.5094126620669875,0.5257538222115601,0.536910623693658,0.49741992899465676,0.47039375027842584,0.5203254258877446,0.0,10.88,748.2,869.4,0.0,9.933333333333334,0
