lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
876b7b96-0a2,generation_-1,65976d64,0.0,0.0,0.0,0,,0.77,0.31,0.13,0.04,0.71,0.81,0,0,0,0,0,0,0
876b7b96-0a2,generation_0,65976d64,-0.00666666666666667,0.02666666666666666,0.0,15,0.0,0.77,0.31,0.13,0.04,0.71,0.81,14,4,49,0,0,0,0
9dab482e-aae,generation_-1,8deaddbd,0.0,0.0,0.0,0,,0.65,0.2,0.23,0.48,0.43,0.73,0,0,0,0,0,0,0
9dab482e-aae,generation_0,8deaddbd,0.10761363636363637,0.06886363636363635,0.0,44,0.0,0.65,0.2,0.23,0.48,0.43,0.73,39,17,209,1,0,0,0
ed474183-e95,generation_-1,21e951ec,0.0,0.0,0.0,0,,0.04,0.93,0.08,0.69,0.74,0.94,0,0,0,0,0,0,0
ed474183-e95,generation_0,21e951ec,0.15793478260869565,0.08891304347826083,0.0,46,0.0,0.04,0.93,0.08,0.69,0.74,0.94,41,29,200,6,0,0,0
6c835398-649,generation_-1,d7fcb9bf,0.0,0.0,0.0,0,,0.42,0.34,0.87,0.29,0.99,0.8,0,0,0,0,0,0,0
6c835398-649,generation_0,d7fcb9bf,0.037916666666666675,0.04583333333333332,0.0,12,0.0,0.42,0.34,0.87,0.29,0.99,0.8,1,0,38,44,0,0,0
2d73e5be-73f,generation_-1,26581e0e,0.0,0.0,0.0,0,,0.53,0.37,0.71,0.17,0.01,0.36,0,0,0,0,0,0,0
2d73e5be-73f,generation_0,26581e0e,0.05000000000000002,0.059999999999999984,0.0,5,0.0,0.53,0.37,0.71,0.17,0.01,0.36,3,0,17,14,0,0,0
612d245e-ce8,generation_-1,5306fe5e,0.0,0.0,0.0,0,,0.71,0.32,0.93,0.75,0.72,0.74,0,0,0,0,0,0,0
612d245e-ce8,generation_0,5306fe5e,0.29885416666666664,0.1352083333333333,0.0,48,0.0,0.71,0.32,0.93,0.75,0.72,0.74,0,0,32,142,0,0,0
