lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
22d1814f-999,generation_-1,8b5de50c,0.0,0.0,0.0,0,,0.78,0.16,0.55,0.22,0.08,0.1,0,0,0,0,0,0,0
22d1814f-999,generation_0,8b5de50c,0.26836041358936485,0.1305169867060561,0.0,677,0.0,0.78,0.16,0.55,0.22,0.08,0.1,0,0,2761,2496,0,0,0
796fca05-c72,generation_-1,aee0e2b4,0.0,0.0,0.0,0,,0.96,0.27,0.79,0.67,0.88,1.0,0,0,0,0,0,0,0
796fca05-c72,generation_0,aee0e2b4,0.22186274509803922,0.1131070889894419,0.0,221,0.0,0.96,0.27,0.79,0.67,0.88,1.0,13,0,910,816,0,0,0
888212b2-441,generation_-1,7163e2ed,0.0,0.0,0.0,0,,0.79,0.51,0.14,0.61,0.44,0.18,0,0,0,0,0,0,0
888212b2-441,generation_0,7163e2ed,0.12796296296296297,0.07814814814814813,0.0,27,0.0,0.79,0.51,0.14,0.61,0.44,0.18,25,8,120,5,0,0,0
c5cfead7-7ba,generation_-1,997a9ff5,0.0,0.0,0.0,0,,0.39,0.03,0.78,0.71,0.86,0.79,0,0,0,0,0,0,0
c5cfead7-7ba,generation_0,997a9ff5,-0.09333333333333334,0.013333333333333327,0.0,3,0.0,0.39,0.03,0.78,0.71,0.86,0.79,0,0,8,14,0,0,0
79440cf9-159,generation_-1,57d716f2,0.0,0.0,0.0,0,,0.61,0.17,0.94,0.27,0.58,0.33,0,0,0,0,0,0,0
79440cf9-159,generation_0,57d716f2,0.22136363636363637,0.11303030303030301,0.0,165,0.0,0.61,0.17,0.94,0.27,0.58,0.33,1,0,670,623,0,0,0
02d5bfbc-63f,generation_-1,55fcebe2,0.0,0.0,0.0,0,,0.6,0.47,0.68,0.78,0.49,0.59,0,0,0,0,0,0,0
02d5bfbc-63f,generation_0,55fcebe2,0.2671428571428571,0.1303296703296703,0.0,910,0.0,0.6,0.47,0.68,0.78,0.49,0.59,1,0,3619,3466,0,0,0
2bdbdfb7-f06,generation_-1,275b1d0b,0.0,0.0,0.0,0,,0.55,0.32,0.06,0.55,0.75,0.27,0,0,0,0,0,0,0
2bdbdfb7-f06,generation_0,275b1d0b,0.09537878787878787,0.06287878787878787,0.0,110,0.0,0.55,0.32,0.06,0.55,0.75,0.27,45,248,164,4,0,0,0
844fd9f4-408,generation_-1,caa0f953,0.0,0.0,0.0,0,,0.56,0.6,0.15,0.17,0.61,0.9,0,0,0,0,0,0,0
844fd9f4-408,generation_0,caa0f953,-0.00821428571428572,0.026428571428571423,0.0,14,1.0,0.56,0.6,0.15,0.17,0.61,0.9,14,4,37,0,0,0,0
aa959556-e94,generation_-1,f32e58af,0.0,0.0,0.0,0,,0.35,0.08,0.71,0.71,0.81,0.32,0,0,0,0,0,0,0
aa959556-e94,generation_0,f32e58af,-0.024583333333333332,0.03416666666666666,0.0,4,1.0,0.35,0.08,0.71,0.71,0.81,0.32,2,0,10,15,0,0,0
5c650b53-0c2,generation_-1,2e702452,0.0,0.0,0.0,0,,0.23,0.79,0.32,0.09,0.97,0.12,0,0,0,0,0,0,0
5c650b53-0c2,generation_0,2e702452,0.08285714285714284,0.06095238095238093,0.0,21,1.0,0.23,0.79,0.32,0.09,0.97,0.12,19,12,96,4,0,0,0
22a2a23b-376,generation_-1,8d3e03c5,0.0,0.0,0.0,0,,0.4,0.37,0.35,0.1,0.71,0.21,0,0,0,0,0,0,0
22a2a23b-376,generation_0,8d3e03c5,0.16689393939393937,0.09439393939393936,0.0,22,1.0,0.4,0.37,0.35,0.1,0.71,0.21,20,15,90,0,0,0,0
4ee687a1-e42,generation_-1,4309114a,0.0,0.0,0.0,0,,0.97,0.32,0.96,0.06,0.16,0.38,0,0,0,0,0,0,0
4ee687a1-e42,generation_0,4309114a,0.27674698795180724,0.13180722891566263,0.0,166,1.0,0.97,0.32,0.96,0.06,0.16,0.38,0,0,663,621,0,0,0
4ee687a1-e42,generation_1,419bfad5,0.21212643678160922,0.11160919540229883,0.0,29,4.0,0.505,0.53,0.925,0.44999999999999996,0.095,0.56,0,0,126,115,0,0,0
851ce406-af0,generation_-1,a7483edd,0.0,0.0,0.0,0,,0.14,0.4,0.05,0.18,0.83,1.0,0,0,0,0,0,0,0
851ce406-af0,generation_0,a7483edd,0.024166666666666663,0.04166666666666666,0.0,10,1.0,0.14,0.4,0.05,0.18,0.83,1.0,10,4,37,0,0,0,0
da91a423-23f,generation_-1,169b6074,0.0,0.0,0.0,0,,0.25,0.72,0.36,0.67,0.94,0.73,0,0,0,0,0,0,0
da91a423-23f,generation_0,169b6074,0.26549941666666665,0.1300768333333333,0.0,3000,1.0,0.25,0.72,0.36,0.67,0.94,0.73,342,7978,3315,489,0,0,0
83c51afc-0c3,generation_-1,8e42e017,0.0,0.0,0.0,0,,0.1,0.94,0.15,0.14,0.76,0.33,0,0,0,0,0,0,0
83c51afc-0c3,generation_0,8e42e017,0.06932330827067669,0.05593984962406013,0.0,19,2.0,0.1,0.94,0.15,0.14,0.76,0.33,19,12,52,0,0,0,0
97442aaf-e40,generation_-1,d18fb538,0.0,0.0,0.0,0,,0.01,0.2,0.11,0.86,0.4,0.55,0,0,0,0,0,0,0
97442aaf-e40,generation_0,d18fb538,0.11291666666666667,0.07583333333333332,0.0,12,2.0,0.01,0.2,0.11,0.86,0.4,0.55,12,6,40,0,0,0,0
3db4d13f-fdd,generation_-1,e3ab979b,0.0,0.0,0.0,0,,0.52,0.45,0.21,0.56,0.24,0.78,0,0,0,0,0,0,0
3db4d13f-fdd,generation_0,e3ab979b,0.17151041666666664,0.09510416666666663,0.0,32,2.0,0.52,0.45,0.21,0.56,0.24,0.78,29,27,161,4,0,0,0
143e2ae8-4e5,generation_-1,d96665aa,0.0,0.0,0.0,0,,0.1,0.41,0.0,0.51,0.11,0.75,0,0,0,0,0,0,0
143e2ae8-4e5,generation_0,d96665aa,0.024166666666666663,0.04166666666666666,0.0,10,2.0,0.1,0.41,0.0,0.51,0.11,0.75,10,8,42,0,0,0,0
3c130327-118,generation_-1,abfe36a8,0.0,0.0,0.0,0,,0.94,0.47,0.33,0.76,0.33,0.87,0,0,0,0,0,0,0
3c130327-118,generation_0,abfe36a8,0.062222222222222213,0.05777777777777776,0.0,9,2.0,0.94,0.47,0.33,0.76,0.33,0.87,9,4,32,0,0,0,0
ae49c572-81e,generation_-1,5f1376ef,0.0,0.0,0.0,0,,0.83,0.38,0.77,0.39,0.51,0.34,0,0,0,0,0,0,0
