generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check
43,0.2577473630120062,26759.92,0.5363073236649089,0.4755132298471883,0.3732397581677538,0.9147602598651022,0.46014220125779476,0.46610542377030467,0.0,47.5,99016.6,101221.36,0.0,5339.96
44,0.23473806077315998,19948.52,0.5171401997736106,0.45660530796070753,0.3764906958461766,0.9226177871779936,0.4660663330384874,0.47390694851623066,0.0,11.9,65944.74,70033.46,0.0,9500.3
45,0.24864059165965952,27067.76,0.5056090686770414,0.4447933260959932,0.3443142267234293,0.9174103488587997,0.47508621094324127,0.4764508139818674,0.0,13.76,82379.48,90032.88,0.0,17888.1
46,0.2348645366211291,17664.68,0.4830949104076012,0.4563392290080662,0.3704149768793289,0.9005563417346931,0.48442792872255935,0.46485445984226204,0.0,45.74,65944.86,67220.76,0.0,3105.2
47,0.2449563767247915,22675.3,0.4691164368947868,0.4585512040694985,0.3718521941257768,0.8947228063741042,0.46210462968448013,0.5042404429343752,0.0,50.92,82658.46,84924.1,0.0,5379.88
48,0.23496727477748533,18499.32,0.5057695424767985,0.43384300320283226,0.38486183317972816,0.8749296772555297,0.46346687685575555,0.5069203247892422,0.0,84.72,66224.6,68497.86,0.0,5209.72
49,0.23450216309574667,17238.4,0.46905502818405076,0.3942141967697401,0.3472591434706729,0.8251995465855757,0.48195029284326923,0.5535286938652388,0.0,29.68,66119.7,66872.32,0.0,1789.38
50,0.224040313768264,18168.96,0.5014536011473765,0.448351255922903,0.3742524951364779,0.9042478198478062,0.47556185269716666,0.4952812409487774,0.0,8.06,49423.02,56366.62,0.0,16106.64
51,0.26952671545576246,29235.88,0.5262691232359764,0.443718538977179,0.4031784608934254,0.8411441493110882,0.5097589433950325,0.4507655145553997,0.0,19.5,115378.94,115689.08,0.0,794.64
52,0.211713261970553,13470.74,0.4965734171937968,0.47344812276455334,0.3460442902660661,0.8689283697471464,0.4619901877602945,0.4663146550465986,0.0,41.28,33095.32,39341.38,0.0,14385.62
53,0.24393374927904377,20822.64,0.5036892803064991,0.5795688443757804,0.4329619411921153,0.7484697461733282,0.4608619986369997,0.45499970423462577,0.0,19.3,82940.7,82980.24,0.0,15.58
54,0.24708927804504893,26536.52,0.49931512674830586,0.4717812149064098,0.37833009429806436,0.8469230419355008,0.49875063157194094,0.46743824071683626,0.0,49.42,82425.56,89458.42,0.0,16342.08
55,0.24796903611658877,26965.96,0.4945968011324649,0.4588058978361855,0.33553699810396737,0.9471878326222714,0.4678642190303958,0.4730462716286471,0.0,53.24,82420.66,89883.82,0.0,17553.6
56,0.21292560091773965,14830.66,0.4825444814453459,0.45551653419809085,0.3417425257242423,0.9394363038629746,0.49051840981339284,0.4742310856279764,0.0,20.2,32963.78,40873.12,0.0,18302.02
57,0.2397034739087017,19609.76,0.4348460949076094,0.4857373551846155,0.3655854983118904,0.8450058425371593,0.579457157490019,0.4934038918596589,0.0,198.98,66214.56,69589.56,0.0,8316.54
58,0.22400787990537233,16850.7,0.46180834795273634,0.45514857951565274,0.36021976424308405,0.8476466470750654,0.49420005060510985,0.5017109846024692,0.0,36.86,49448.44,54782.34,0.0,12364.08
59,0.2209198328607662,12936.9,0.4626584903037239,0.5014861393130069,0.4354863799039863,0.8073793523837596,0.45294677944197126,0.49902638009822153,0.0,14.26,50100.68,50546.74,0.0,1000.38
60,0.22434621139287445,16722.82,0.49012697545997413,0.4772669884484677,0.3555600433192059,0.8801850563379113,0.4766032907984794,0.5037579269578758,0.0,58.44,49485.02,54623.28,0.0,11995.92
61,0.2367425916290644,19194.68,0.4823250219611468,0.48373497036151636,0.3850521993618865,0.7964968680007937,0.48504116826568167,0.5041171433793691,0.0,93.66,66013.76,69076.64,0.0,7305.12
62,0.2355456238481699,18028.14,0.47190693438657244,0.4905855954573704,0.3558691790215812,0.8157746867354387,0.4585909345707468,0.4849804339922845,0.0,156.54,66092.22,67689.64,0.0,3958.18
63,0.22405880228534628,15331.72,0.4701815999030749,0.5054608559867052,0.40172430887189203,0.8488302419527216,0.4733345993923117,0.48775107563796966,0.0,18.48,50812.66,54017.46,0.0,7163.12
64,0.23290717117727525,16749.12,0.38298591879118715,0.484305583390165,0.43478228244456907,0.7148844451441306,0.5198635226110017,0.3832984642919589,0.0,18.6,66158.9,66318.06,0.0,400.68
65,0.22408382508433092,13761.08,0.42501126018552865,0.42462274626755075,0.3951424026239719,0.732694957745215,0.5563355884039789,0.3945347172768144,0.0,11.96,49720.4,51278.92,0.0,3576.94
66,0.24598447603355095,22899.98,0.5187778636175238,0.4324588651691933,0.4109819038124929,0.8231687972731361,0.4672096594552377,0.4654501398826615,0.0,13.64,82472.46,85118.1,0.0,6154.86
67,0.2110640319536608,8907.4,0.5745320214076717,0.3887459318891092,0.3725193799104459,0.7203800599512041,0.42791457387801,0.39358989398114785,0.0,34.4,33068.76,33821.5,0.0,1652.62
68,0.24249874098738813,20844.78,0.6674097695573791,0.2867183939162701,0.40454818032990064,0.5006593649984069,0.2908963937392803,0.2830686914105999,0.0,14.7,82997.26,83029.78,0.0,13.82
