generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.11818379751487827,132.16,0.4436,0.511,0.5047999999999999,0.43560000000000004,0.516,0.5026,0.0,11.9,454.02,537.34,0.0,9.58,0
1,0.08350504769383439,152.48,0.43618119098979974,0.5929853211108793,0.6952531742401239,0.454253541239696,0.14184682415290736,0.2425067031558901,0.0,1.54,577.02,643.28,0.0,2.96,0
2,0.06714590542106923,147.7,0.39313946823711843,0.6271715619004951,0.7487731975619676,0.4666025065863554,0.18599274791273754,0.20099095251876598,0.0,1.26,579.16,590.2,0.0,4.1,0
3,0.0586054276952505,125.8,0.33902435802449515,0.6029369963733477,0.7608376675754361,0.5900281628227012,0.23859931221734582,0.2322317060854757,0.0,2.56,485.92,497.08,0.0,4.3,0
4,0.08773954285779899,158.52,0.33402639251726335,0.6652592897050897,0.7566905705427655,0.7411331727530053,0.30904687525801533,0.3005723141852157,0.0,2.38,618.16,636.26,0.0,4.7,0
5,0.13101805918568535,235.58,0.33495849700495894,0.655492294779818,0.6453750276668819,0.7019640872410662,0.36085494930842293,0.3704844150343223,0.0,3.58,912.64,955.14,0.0,5.26,0
6,0.12285078147142135,188.88,0.30958441500579403,0.5984381953112429,0.6383455837815096,0.712655287038583,0.3719207778008811,0.35647892482067867,0.0,4.48,717.42,755.86,0.0,6.56,0
7,0.10375240118468822,74.24,0.32277259973398925,0.5382466328455741,0.6328799351954042,0.6829536584822742,0.4422720090537298,0.3410460593662909,0.0,3.18,275.58,296.04,0.0,3.64,0
8,0.09845706456010656,171.74,0.27974231072022976,0.6283234980080917,0.7095794403800686,0.745534394748572,0.3308710592204235,0.3067075494435661,0.0,1.46,654.4,675.6,0.0,4.4,0
9,0.10868446073651353,129.08,0.38643455236594065,0.6292559987437505,0.6768394151074655,0.7178879390804501,0.3432568417962411,0.3662369201671686,0.0,2.26,494.46,510.98,0.0,3.02,0
10,0.07019757167865585,142.72,0.31369857383136684,0.6624460296946545,0.7815862126328933,0.7963404516644578,0.2989908719017251,0.3359567544224894,0.0,0.14,565.36,571.88,0.0,3.12,0
11,0.09037956699616678,130.34,0.2549743381179151,0.7074087064433706,0.783589384888041,0.8378345210432121,0.3296348263196671,0.32499349190769133,0.0,0.56,509.28,521.22,0.0,2.94,0
12,0.17207506939611908,115.12,0.2856206966945358,0.6481247332682196,0.6592564327405636,0.6786685249304989,0.4332837445765177,0.39833274428017645,0.0,2.88,436.2,456.0,0.0,3.34,0
13,0.08057078394727171,110.64,0.34277422282888104,0.627225704544704,0.7109691281293178,0.7429905899955466,0.3800129344786094,0.5576345970880139,0.0,1.86,426.82,438.82,0.0,3.2,0
14,0.14768490357580336,110.7,0.3370255300171931,0.6138186467180211,0.6353260140629933,0.6210483276188503,0.45509448602258323,0.45053443293961515,0.0,4.6,406.28,455.52,0.0,4.52,0
