lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
a005789d-0eb,generation_-1,cf00d091,0.0,0.0,0.0,0,,0.12,0.06,0.22,0.03,0.19,0.42,0,0,0,0,0,0,0
a005789d-0eb,generation_0,cf00d091,0.09588235294117647,0.06705882352941174,0.0,17,0.0,0.12,0.06,0.22,0.03,0.19,0.42,15,10,64,0,0,0,0
da5a7f10-721,generation_-1,ac08018c,0.0,0.0,0.0,0,,0.08,0.19,0.66,0.78,0.89,0.46,0,0,0,0,0,0,0
da5a7f10-721,generation_0,ac08018c,0.16035714285714284,0.08928571428571426,0.0,70,0.0,0.08,0.19,0.66,0.78,0.89,0.46,11,0,348,185,0,0,0
b178bfef-38d,generation_-1,72b8f6c3,0.0,0.0,0.0,0,,0.77,0.25,0.24,0.36,0.9,0.21,0,0,0,0,0,0,0
b178bfef-38d,generation_0,72b8f6c3,0.10666666666666667,0.0687179487179487,0.0,39,0.0,0.77,0.25,0.24,0.36,0.9,0.21,37,14,169,0,0,0,0
0fe75e95-6f2,generation_-1,ebdaaa24,0.0,0.0,0.0,0,,0.13,0.59,0.11,0.74,0.12,0.4,0,0,0,0,0,0,0
0fe75e95-6f2,generation_0,ebdaaa24,-0.021111111111111115,0.02444444444444444,0.0,9,0.0,0.13,0.59,0.11,0.74,0.12,0.4,9,2,40,0,0,0,0
f9348d9c-612,generation_-1,7938f4b7,0.0,0.0,0.0,0,,0.84,0.69,0.7,0.92,0.93,0.66,0,0,0,0,0,0,0
f9348d9c-612,generation_0,7938f4b7,0.024375,0.04374999999999999,0.0,8,0.0,0.84,0.69,0.7,0.92,0.93,0.66,0,0,30,29,0,0,0
e46ce69a-b3a,generation_-1,094f8602,0.0,0.0,0.0,0,,0.46,0.67,0.71,0.71,0.47,0.1,0,0,0,0,0,0,0
