lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
4e429102-3d7,generation_-1,8a3cce3f,0.0,0.0,0.0,0,,0.24,0.84,0.02,0.33,0.71,0.72,0,0,0,0,0,0,0
4e429102-3d7,generation_0,8a3cce3f,0.10964285714285714,0.07093406593406591,0.0,26,0.0,0.24,0.84,0.02,0.33,0.71,0.72,23,10,121,4,0,0,0
b0a08581-78d,generation_-1,6f0c6df2,0.0,0.0,0.0,0,,0.94,0.84,0.58,0.47,0.21,0.37,0,0,0,0,0,0,0
b0a08581-78d,generation_0,6f0c6df2,-0.03053571428571429,0.03178571428571428,0.0,4,0.0,0.94,0.84,0.58,0.47,0.21,0.37,0,0,16,17,0,0,0
c14f75bc-3ba,generation_-1,16b5fb12,0.0,0.0,0.0,0,,0.73,0.67,0.41,0.77,0.65,0.69,0,0,0,0,0,0,0
c14f75bc-3ba,generation_0,16b5fb12,0.014603174603174597,0.03873015873015872,0.0,9,0.0,0.73,0.67,0.41,0.77,0.65,0.69,8,4,42,3,0,0,0
2ad04547-8b3,generation_-1,78f28985,0.0,0.0,0.0,0,,0.31,0.25,0.94,0.82,0.68,0.36,0,0,0,0,0,0,0
2ad04547-8b3,generation_0,78f28985,-0.07607142857142857,0.03357142857142856,0.0,2,0.0,0.31,0.25,0.94,0.82,0.68,0.36,0,0,7,11,0,0,0
38abd1f5-892,generation_-1,2076d7ae,0.0,0.0,0.0,0,,0.58,1.0,0.8,0.47,0.19,0.76,0,0,0,0,0,0,0
38abd1f5-892,generation_0,2076d7ae,-0.11178571428571428,0.01928571428571428,0.0,2,0.0,0.58,1.0,0.8,0.47,0.19,0.76,0,0,7,10,0,0,0
3bbc37de-7b2,generation_-1,36494144,0.0,0.0,0.0,0,,0.88,0.98,0.06,0.47,0.42,0.21,0,0,0,0,0,0,0
3bbc37de-7b2,generation_0,36494144,-0.014545454545454549,0.025454545454545445,0.0,11,0.0,0.88,0.98,0.06,0.47,0.42,0.21,11,4,48,0,0,0,0
2412bf2d-45f,generation_-1,d32e0837,0.0,0.0,0.0,0,,0.14,0.98,0.53,0.98,0.77,0.16,0,0,0,0,0,0,0
2412bf2d-45f,generation_0,d32e0837,-0.10583333333333333,0.021666666666666664,0.0,2,0.0,0.14,0.98,0.53,0.98,0.77,0.16,0,0,8,12,0,0,0
e7472e02-4b0,generation_-1,10dbae95,0.0,0.0,0.0,0,,0.19,0.22,1.0,0.7,0.19,0.26,0,0,0,0,0,0,0
e7472e02-4b0,generation_0,10dbae95,-0.014545454545454549,0.025454545454545445,0.0,11,0.0,0.19,0.22,1.0,0.7,0.19,0.26,0,0,56,39,0,0,0
c140bbcc-a8e,generation_-1,66b9d601,0.0,0.0,0.0,0,,0.61,0.76,0.7,0.43,0.12,0.5,0,0,0,0,0,0,0
c140bbcc-a8e,generation_0,66b9d601,0.22284607696151923,0.11325837081459267,0.0,667,0.0,0.61,0.76,0.7,0.43,0.12,0.5,0,0,2460,2670,0,0,0
fbbd90fc-7d0,generation_-1,7d770b36,0.0,0.0,0.0,0,,0.45,0.07,0.79,0.99,0.94,0.58,0,0,0,0,0,0,0
fbbd90fc-7d0,generation_0,7d770b36,-0.1475,0.0049999999999999975,0.0,2,0.0,0.45,0.07,0.79,0.99,0.94,0.58,0,0,7,12,0,0,0
d2d9ed4b-b8f,generation_-1,475ded60,0.0,0.0,0.0,0,,0.1,0.9,0.19,0.8,0.12,0.87,0,0,0,0,0,0,0
d2d9ed4b-b8f,generation_0,475ded60,0.06837301587301586,0.05579365079365077,0.0,18,1.0,0.1,0.9,0.19,0.8,0.12,0.87,16,10,80,1,0,0,0
6fe6afeb-443,generation_-1,66dd81c0,0.0,0.0,0.0,0,,0.68,0.01,0.76,0.26,0.46,0.36,0,0,0,0,0,0,0
6fe6afeb-443,generation_0,66dd81c0,-0.06625,0.017499999999999995,0.0,4,1.0,0.68,0.01,0.76,0.26,0.46,0.36,0,0,16,17,0,0,0
bf6e5fa6-e83,generation_-1,a211c0fc,0.0,0.0,0.0,0,,0.64,0.18,0.52,0.05,0.94,0.07,0,0,0,0,0,0,0
bf6e5fa6-e83,generation_0,a211c0fc,0.10183035714285714,0.06973214285714284,0.0,16,1.0,0.64,0.18,0.52,0.05,0.94,0.07,4,0,78,39,0,0,0
1f2138c5-b1d,generation_-1,ce481507,0.0,0.0,0.0,0,,0.36,0.64,0.92,0.31,0.98,0.36,0,0,0,0,0,0,0
1f2138c5-b1d,generation_0,ce481507,-0.11178571428571428,0.01928571428571428,0.0,2,1.0,0.36,0.64,0.92,0.31,0.98,0.36,0,0,5,10,0,0,0
0e288570-bc6,generation_-1,44e6e0fd,0.0,0.0,0.0,0,,0.81,0.48,0.88,0.95,0.96,0.37,0,0,0,0,0,0,0
0e288570-bc6,generation_0,44e6e0fd,-0.021904761904761927,0.04190476190476188,0.0,3,1.0,0.81,0.48,0.88,0.95,0.96,0.37,1,0,11,11,0,0,0
e42f74a5-8f3,generation_-1,09158787,0.0,0.0,0.0,0,,0.06,0.7,0.3,0.1,0.84,0.56,0,0,0,0,0,0,0
e42f74a5-8f3,generation_0,09158787,0.17596491228070174,0.0957894736842105,0.0,57,1.0,0.06,0.7,0.3,0.1,0.84,0.56,50,36,244,3,0,0,0
1b03f149-a56,generation_-1,9525950b,0.0,0.0,0.0,0,,0.36,0.05,0.96,0.57,0.65,0.02,0,0,0,0,0,0,0
1b03f149-a56,generation_0,9525950b,-0.010000000000000009,0.046666666666666655,0.0,3,1.0,0.36,0.05,0.96,0.57,0.65,0.02,1,0,11,12,0,0,0
133a9dbc-894,generation_-1,4a840bc7,0.0,0.0,0.0,0,,0.83,0.29,0.65,0.98,0.78,0.52,0,0,0,0,0,0,0
133a9dbc-894,generation_0,4a840bc7,0.22104460093896713,0.11298122065727696,0.0,142,1.0,0.83,0.29,0.65,0.98,0.78,0.52,0,0,608,538,0,0,0
8afc0b0a-816,generation_-1,2ffd9cfe,0.0,0.0,0.0,0,,0.72,0.69,0.47,0.7,0.11,0.48,0,0,0,0,0,0,0
8afc0b0a-816,generation_0,2ffd9cfe,0.17263888888888887,0.09527777777777775,0.0,36,1.0,0.72,0.69,0.47,0.7,0.11,0.48,32,18,129,10,0,0,0
b069ecc1-893,generation_-1,6b16e970,0.0,0.0,0.0,0,,0.2,0.69,0.38,0.29,0.68,0.93,0,0,0,0,0,0,0
b069ecc1-893,generation_0,6b16e970,0.10750000000000001,0.07499999999999998,0.0,10,1.0,0.2,0.69,0.38,0.29,0.68,0.93,10,6,42,0,0,0,0
b6ce37f7-db4,generation_-1,bf4875c8,0.0,0.0,0.0,0,,0.59,0.73,0.68,0.5,0.96,0.84,0,0,0,0,0,0,0
