lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
b1728907-847,generation_-1,c59ff7af,0.0,0.0,0.0,0,,0.27,0.92,0.75,0.59,0.72,0.87,0,0,0,0,0,0,0
b1728907-847,generation_0,c59ff7af,0.269881974248927,0.13075107296137337,0.0,466,0.0,0.27,0.92,0.75,0.59,0.72,0.87,0,9,1760,1837,0,0,0
b1728907-847,generation_1,60fc54fc,-0.010000000000000009,0.046666666666666655,0.0,3,2.0,0.565,0.935,0.8400000000000001,0.43,0.415,0.675,0,0,9,13,0,0,0
7363918b-8d9,generation_-1,ccaa893b,0.0,0.0,0.0,0,,0.28,0.62,0.39,0.01,0.27,0.82,0,0,0,0,0,0,0
7363918b-8d9,generation_0,ccaa893b,0.0812280701754386,0.060701754385964896,0.0,19,0.0,0.28,0.62,0.39,0.01,0.27,0.82,17,5,84,3,0,0,0
77dcfecd-b74,generation_-1,a35f5ac0,0.0,0.0,0.0,0,,0.32,0.81,0.77,0.11,0.74,0.97,0,0,0,0,0,0,0
77dcfecd-b74,generation_0,a35f5ac0,0.26859778597785977,0.13055350553505532,0.0,542,0.0,0.32,0.81,0.77,0.11,0.74,0.97,0,22,1501,2141,0,0,0
77dcfecd-b74,generation_1,aa45bac1,0.2222427293064877,0.11316554809843397,0.0,298,3.0,0.25,0.7350000000000001,0.74,0.47,0.585,0.96,1,1,1091,1179,0,0,0
a67288e6-e2b,generation_-1,3926c4c9,0.0,0.0,0.0,0,,0.59,0.73,0.38,0.64,0.01,0.55,0,0,0,0,0,0,0
a67288e6-e2b,generation_0,3926c4c9,0.04119047619047618,0.044285714285714275,0.0,21,0.0,0.59,0.73,0.38,0.64,0.01,0.55,20,4,91,1,0,0,0
389c0add-740,generation_-1,a5f9df43,0.0,0.0,0.0,0,,0.72,0.8,0.88,0.48,0.0,0.48,0,0,0,0,0,0,0
389c0add-740,generation_0,a5f9df43,-0.05166666666666668,0.029999999999999992,0.0,3,0.0,0.72,0.8,0.88,0.48,0.0,0.48,0,0,11,14,0,0,0
c427c109-e59,generation_-1,409c70bd,0.0,0.0,0.0,0,,0.84,0.51,0.96,0.67,0.92,0.73,0,0,0,0,0,0,0
