lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
a7b6ab34-201,generation_-1,03f066a0,0.0,0.0,0.0,0,,0.18,0.18,0.86,0.12,0.35,0.58,0,0,0,0,0,0,0
a7b6ab34-201,generation_0,03f066a0,0.20007462686567165,0.10462686567164177,0.0,134,0.0,0.18,0.18,0.86,0.12,0.35,0.58,2,3,532,504,0,0,0
08a0a246-de4,generation_-1,459d1b85,0.0,0.0,0.0,0,,0.41,0.04,0.38,0.67,0.45,0.72,0,0,0,0,0,0,0
08a0a246-de4,generation_0,459d1b85,0.04795454545454546,0.05045454545454545,0.0,11,0.0,0.41,0.04,0.38,0.67,0.45,0.72,11,6,48,0,0,0,0
1533430f-627,generation_-1,5a5cb8cb,0.0,0.0,0.0,0,,0.22,0.17,0.56,0.68,0.18,0.58,0,0,0,0,0,0,0
1533430f-627,generation_0,5a5cb8cb,-0.025625000000000002,0.023749999999999993,0.0,8,0.0,0.22,0.17,0.56,0.68,0.18,0.58,1,0,36,32,0,0,0
817550f0-2dc,generation_-1,b1b00951,0.0,0.0,0.0,0,,0.35,0.94,0.81,0.39,0.85,0.03,0,0,0,0,0,0,0
817550f0-2dc,generation_0,b1b00951,0.28210526315789475,0.1326315789473684,0.0,76,0.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,271,299,0,0,0
817550f0-2dc,generation_1,fb92e359,-0.08499999999999999,0.03,0.0,2,0.0,0.375,0.9199999999999999,0.7250000000000001,0.5449999999999999,0.495,0.395,0,0,9,12,0,0,0
817550f0-2dc,generation_1,9a84ad8b,0.19572916666666668,0.1039583333333333,0.03,48,0.0,0.31999999999999995,0.8049999999999999,0.7350000000000001,0.54,0.51,0.305,1,0,186,183,0,0,0
817550f0-2dc,generation_1,28b74e94,0.3131481481481482,0.1374074074074074,0.06697916666666665,27,0.0,0.35,0.94,0.81,0.39,0.85,0.03,0,1,110,107,0,0,0
817550f0-2dc,generation_1,c66609a6,0.07500000000000001,0.06999999999999999,0.09045524691358024,5,0.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,22,20,0,0,0
817550f0-2dc,generation_1,ede1d38e,-0.06625,0.017499999999999995,0.08534143518518518,4,1.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,15,18,0,0,0
817550f0-2dc,generation_1,a32f4a3a,0.028255639097744346,0.14222556390977442,0.07177314814814814,7,1.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,33,27,0,0,0
817550f0-2dc,generation_1,b1cfce85,-0.1475,0.0049999999999999975,0.08351521744175254,2,1.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,10,12,0,0,0
817550f0-2dc,generation_1,a0d94302,0.1671842105263158,0.19436842105263155,0.07229875780721647,10,2.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,39,40,0,0,0
817550f0-2dc,generation_1,5e3f23c3,0.2732278481012658,0.1312658227848101,0.08755746571289333,158,2.0,0.35,0.94,0.81,0.39,0.85,0.03,0,7,534,619,0,0,0
817550f0-2dc,generation_1,f5034b46,0.2496842105263158,0.22244534412955463,0.09241394983199519,26,2.0,0.35,0.94,0.81,0.39,0.85,0.03,0,1,110,107,0,0,0
817550f0-2dc,generation_1,93a96fb5,0.3327862057103543,0.24988613691090467,0.10541708926175115,153,2.0,0.4,0.9,0.64,0.7,0.14,0.76,0,2,629,588,0,0,0
817550f0-2dc,generation_1,3123834d,0.29153061224489796,0.1340816326530612,0.11855063904803784,49,3.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,174,188,0,0,0
817550f0-2dc,generation_1,7ed8081a,0.036875,0.048749999999999995,0.11984488851512311,8,3.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,36,32,0,0,0
817550f0-2dc,generation_1,fd819be3,0.12194444444444444,0.0772222222222222,0.11437605093703672,18,3.0,0.31999999999999995,0.8049999999999999,0.7350000000000001,0.54,0.51,0.305,0,1,71,68,0,0,0
817550f0-2dc,generation_1,05e0a6ec,0.20036184210526317,0.10467105263157891,0.11172220602883569,152,3.0,0.35,0.94,0.81,0.39,0.85,0.03,0,2,616,598,0,0,0
817550f0-2dc,generation_1,0828a547,0.33124986709197235,0.2503785220627326,0.11125212913568523,198,4.0,0.35,0.94,0.81,0.39,0.85,0.03,0,5,787,781,0,0,0
817550f0-2dc,generation_1,3fe6d525,0.028850877192982433,0.1577017543859649,0.11994752869362568,3,4.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,13,13,0,0,0
817550f0-2dc,generation_1,d5a9bed1,0.0721842105263158,0.16436842105263155,0.1221683654990574,5,4.0,0.35,0.94,0.81,0.39,0.85,0.03,0,0,24,22,0,0,0
817550f0-2dc,generation_2,7878ecca,0.13144736842105262,0.07868421052631577,0.0,38,0.0,0.4,0.9,0.64,0.7,0.14,0.76,0,3,153,153,0,0,0
817550f0-2dc,generation_2,c5f4e797,-0.021111111111111115,0.02444444444444444,0.07868421052631577,9,0.0,0.4,0.9,0.64,0.7,0.14,0.76,0,0,39,38,0,0,0
817550f0-2dc,generation_2,14711423,0.0624487616099071,0.2448975232198142,0.051564327485380104,5,0.0,0.4,0.9,0.64,0.7,0.14,0.76,0,0,20,20,0,0,0
817550f0-2dc,generation_2,4dfedede,0.1312162162162162,0.07864864864864864,0.1160087260635248,37,0.0,0.4,0.9,0.64,0.7,0.14,0.76,0,0,149,152,0,0,0
817550f0-2dc,generation_2,719b5383,0.3134598086124402,0.3300775119617225,0.10666870670980576,190,1.0,0.35,0.94,0.81,0.39,0.85,0.03,0,5,757,744,0,0,0
817550f0-2dc,generation_2,ebe15632,0.2615072463768116,0.228231884057971,0.15135046776018912,115,1.0,0.35,0.94,0.81,0.39,0.85,0.03,1,2,469,453,0,0,0
817550f0-2dc,generation_2,11318f88,0.31116969184246523,0.32931612787097697,0.16416403714315278,86,1.0,0.4,0.9,0.64,0.7,0.14,0.76,0,0,358,339,0,0,0
817550f0-2dc,generation_2,ef51212b,0.0868237616099071,0.2486475232198142,0.18775719296141338,8,1.0,0.4,0.9,0.64,0.7,0.14,0.76,0,0,39,32,0,0,0
817550f0-2dc,generation_2,d64c2575,0.2667857142857143,0.13027472527472525,0.19536848424371347,728,1.0,0.4,0.9,0.64,0.7,0.14,0.76,0,22,2951,2871,0,0,0
