generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.12590570631709322,190.24,0.4878,0.49400000000000005,0.47900000000000004,0.5386,0.45600000000000007,0.4864,0.0,10.78,687.3,754.8,0.0,8.82,0
1,0.10015095691391512,45.86,0.6063569959269209,0.5245838427147889,0.8137261095037305,0.6988601202369362,0.623699921206007,0.8522641658817335,0.0,1.9,171.44,184.12,0.0,0.96,0
2,0.12712775143439037,63.32,0.29727652812795885,0.7504744115453269,0.6890796300365055,0.6049325495141801,0.8243858896545792,0.8398027450111702,0.0,1.36,242.58,247.96,0.0,2.0,0
3,0.15803348760644106,56.62,0.3498788925359946,0.7864783683493528,0.6565669411582346,0.6105246105075621,0.8537163151920266,0.7974593864152933,0.0,1.96,212.62,226.8,0.0,2.04,0
4,0.16403772500512667,70.84,0.29530758232702037,0.7994445653284399,0.6755055435540339,0.583873982861842,0.8786219723939287,0.8235951296521984,0.0,0.82,277.82,283.76,0.0,1.86,0
5,0.1916416102411781,49.2,0.26611223706778997,0.8127487277986362,0.6669453440893279,0.5780024620604884,0.856120965929042,0.8259469769810107,0.0,1.98,185.32,196.5,0.0,2.28,0
6,0.20914134427801467,68.72,0.31292251640555657,0.7877260209888474,0.6773224400425468,0.5934690868427445,0.8415502368619064,0.8045900977556932,0.0,0.84,265.08,272.62,0.0,1.9,0
7,0.2563706379765035,73.76,0.2854865156556421,0.7731437169427967,0.6688338018946678,0.5994891608561783,0.8424391659737495,0.7823311307327857,0.0,1.6,285.02,295.5,0.0,2.3,0
8,0.24435161747384715,96.46,0.26846134302709435,0.8013115281042842,0.6745218844932169,0.5986003668801081,0.8901357870001324,0.8057713768609602,0.0,1.32,371.68,386.82,0.0,3.02,0
9,0.33707416475369956,65.68,0.30407317970577097,0.7709724702011351,0.680526784828978,0.6098512480732738,0.8272784142945362,0.7704974504636215,0.0,0.94,255.08,262.36,0.0,1.82,0
10,0.2631249663654714,75.36,0.3248201833974879,0.7916760049511649,0.6837148592109463,0.6019055314793673,0.8249975764971211,0.784720015887891,0.0,0.84,287.9,297.22,0.0,1.9,0
11,0.2623434207221985,60.64,0.33916990851884365,0.7579688601699823,0.6708883276919562,0.6271660110711796,0.8510339337544309,0.7924396818611202,0.0,3.28,222.62,236.98,0.0,3.16,0
12,0.26706060547621474,48.58,0.33246650833852187,0.8127362738058107,0.6763097295261814,0.6101163482930917,0.8682815481866686,0.795816579851244,0.0,1.08,181.98,202.18,0.0,1.1,0
13,0.3740228415866462,65.52,0.329425420235664,0.7946464953041992,0.6748329572013648,0.5888045292415579,0.8343979549295705,0.7913097233102852,0.0,1.66,251.24,258.26,0.0,2.52,0
14,0.33459948785340576,69.78,0.3103520451564645,0.8276559032433916,0.7044664693676725,0.6127394682460551,0.9043999756963984,0.8318020627306182,0.0,0.54,274.78,276.46,0.0,1.2,0
15,0.31999841691197123,85.64,0.4358994187228336,0.7719161892420133,0.6789264694039266,0.5426155008930432,0.7980689466294839,0.7529445262744787,0.0,1.54,323.06,346.56,0.0,1.1,0
16,0.3852460412159977,60.32,0.3434470809550932,0.7950905710879976,0.6364750888909173,0.5479522779060721,0.7337054866368325,0.754785762751987,0.0,2.52,228.38,239.82,0.0,2.26,0
