lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
f0a3d7e2-ccd,generation_-1,9fdb1580,0.0,0.0,0.0,0,,0.64,0.58,0.96,0.96,0.37,0.13,0,0,0,0,0,0,0
f0a3d7e2-ccd,generation_0,9fdb1580,0.2692483660130719,0.1306535947712418,0.0,306,0.0,0.64,0.58,0.96,0.96,0.37,0.13,0,0,1209,1220,0,0,0
f0a3d7e2-ccd,generation_1,5752aaa0,-0.007455882352941187,0.13508823529411762,0.0,4,1.0,0.64,0.58,0.96,0.96,0.37,0.13,1,0,14,15,0,0,0
f0a3d7e2-ccd,generation_1,1d284f67,0.3155653055542104,0.22491299452810998,0.13508823529411762,386,2.0,0.58,1.0,0.56,0.63,0.67,0.26,0,0,1659,1457,0,0,0
af55841e-386,generation_-1,e3a98565,0.0,0.0,0.0,0,,0.12,0.57,0.5,0.37,0.81,0.97,0,0,0,0,0,0,0
af55841e-386,generation_0,e3a98565,0.26853260869565215,0.13054347826086954,0.0,368,0.0,0.12,0.57,0.5,0.37,0.81,0.97,0,11,1562,1310,0,0,0
3a106787-53f,generation_-1,29227442,0.0,0.0,0.0,0,,0.59,0.74,0.08,0.86,0.65,0.21,0,0,0,0,0,0,0
3a106787-53f,generation_0,29227442,0.12879310344827585,0.0782758620689655,0.0,29,0.0,0.59,0.74,0.08,0.86,0.65,0.21,27,41,86,4,0,0,0
45808f7b-51e,generation_-1,d59acf8f,0.0,0.0,0.0,0,,0.94,1.0,0.72,0.4,0.27,0.49,0,0,0,0,0,0,0
45808f7b-51e,generation_0,d59acf8f,0.2904901960784314,0.13392156862745097,0.0,51,0.0,0.94,1.0,0.72,0.4,0.27,0.49,0,0,18,164,0,0,0
45808f7b-51e,generation_1,b7678158,0.2764035087719298,0.13175438596491226,0.0,114,1.0,0.79,0.79,0.84,0.6799999999999999,0.32,0.31,0,0,410,447,0,0,0
45808f7b-51e,generation_1,7fbefad0,-0.06625,0.017499999999999995,0.13175438596491226,4,1.0,0.79,0.79,0.84,0.6799999999999999,0.32,0.31,0,0,13,17,0,0,0
45808f7b-51e,generation_1,1ede794c,0.2607639382017081,0.2225066692256021,0.07462719298245613,613,3.0,0.64,0.58,0.96,0.96,0.37,0.13,0,0,2392,2448,0,0,0
45808f7b-51e,generation_1,6fa4f3ef,-0.03306862745098041,0.1338627450980392,0.12392035173017146,3,4.0,0.94,1.0,0.72,0.4,0.27,0.49,0,0,16,16,0,0,0
9e78a688-6d1,generation_-1,e7d3872a,0.0,0.0,0.0,0,,0.58,1.0,0.56,0.63,0.67,0.26,0,0,0,0,0,0,0
9e78a688-6d1,generation_0,e7d3872a,0.2017406542056075,0.10488317757009344,0.0,428,0.0,0.58,1.0,0.56,0.63,0.67,0.26,0,0,2141,1407,0,0,0
3dd58e23-0e8,generation_-1,dcf9934b,0.0,0.0,0.0,0,,0.2,0.96,0.83,0.41,0.43,0.2,0,0,0,0,0,0,0
3dd58e23-0e8,generation_0,dcf9934b,0.2014344262295082,0.10483606557377048,0.0,305,1.0,0.2,0.96,0.83,0.41,0.43,0.2,0,1,1175,1214,0,0,0
9d4f274b-e9b,generation_-1,da899b9e,0.0,0.0,0.0,0,,0.36,1.0,0.11,0.47,0.32,0.77,0,0,0,0,0,0,0
9d4f274b-e9b,generation_0,da899b9e,-0.010000000000000005,0.026153846153846146,0.0,13,1.0,0.36,1.0,0.11,0.47,0.32,0.77,12,8,40,2,0,0,0
c2c5f6ef-913,generation_-1,67ab6167,0.0,0.0,0.0,0,,0.19,0.88,0.87,0.52,0.04,0.17,0,0,0,0,0,0,0
c2c5f6ef-913,generation_0,67ab6167,0.2975,0.13499999999999998,0.0,40,1.0,0.19,0.88,0.87,0.52,0.04,0.17,0,0,9,114,0,0,0
c2c5f6ef-913,generation_1,709e4188,0.1755798319327731,0.19401680672268906,0.0,14,0.0,0.64,0.58,0.96,0.96,0.37,0.13,2,0,52,46,0,0,0
c2c5f6ef-913,generation_1,9a9c84e4,0.05700000000000001,0.16399999999999998,0.19401680672268906,4,0.0,0.19,0.88,0.87,0.52,0.04,0.17,0,0,15,17,0,0,0
c2c5f6ef-913,generation_1,4bf9bbfa,0.02333333333333333,0.046666666666666655,0.17900840336134452,6,0.0,0.14,0.725,0.8300000000000001,0.29500000000000004,0.41500000000000004,0.185,2,0,25,15,0,0,0
c2c5f6ef-913,generation_1,332b6edd,0.3474166666666667,0.2548333333333333,0.13489449112978522,60,1.0,0.19,0.88,0.87,0.52,0.04,0.17,0,0,32,182,0,0,0
c2c5f6ef-913,generation_1,985d7df4,-0.09333333333333334,0.013333333333333327,0.16487920168067224,3,2.0,0.14,0.725,0.8300000000000001,0.29500000000000004,0.41500000000000004,0.185,0,0,12,16,0,0,0
c2c5f6ef-913,generation_1,2e499149,-0.03258333333333335,0.1348333333333333,0.13457002801120446,3,2.0,0.19,0.88,0.87,0.52,0.04,0.17,0,0,11,14,0,0,0
c2c5f6ef-913,generation_1,874be4c2,0.09969742990654205,0.14554870596693026,0.13461391223155927,13,2.0,0.58,1.0,0.56,0.63,0.67,0.26,0,0,52,52,0,0,0
c2c5f6ef-913,generation_1,28851760,0.24866239805940832,0.19923562414429427,0.13617602562232656,314,4.0,0.58,1.0,0.56,0.63,0.67,0.26,0,0,1264,1238,0,0,0
c2c5f6ef-913,generation_1,231bbc43,0.26240584415584417,0.22637012987012983,0.14405847543757253,385,4.0,0.19,0.88,0.87,0.52,0.04,0.17,0,6,1547,1525,0,0,0
c2c5f6ef-913,generation_1,fd6a7649,0.25836845902270106,0.2220466525586764,0.15320421481896776,113,4.0,0.12,0.57,0.5,0.37,0.81,0.97,0,0,454,424,0,0,0
c2c5f6ef-913,generation_2,fb552b38,0.3159668215613383,0.334164126394052,0.0,269,0.0,0.19,0.88,0.87,0.52,0.04,0.17,1,5,1037,1029,0,0,0
c2c5f6ef-913,generation_2,6db0a310,0.31588531746031745,0.3341515873015872,0.334164126394052,252,0.0,0.19,0.88,0.87,0.52,0.04,0.17,0,5,964,1000,0,0,0
c2c5f6ef-913,generation_2,d19f2fb0,0.22759166666666666,0.3051833333333333,0.3341578568478196,12,1.0,0.19,0.88,0.87,0.52,0.04,0.17,0,0,63,52,0,0,0
c2c5f6ef-913,generation_2,66a4a0e4,0.16710370468050664,0.25563598078958466,0.32449968234299087,28,1.0,0.58,1.0,0.56,0.63,0.67,0.26,0,0,116,104,0,0,0
