generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.12494380801557811,88.56,0.5641999999999999,0.5252,0.5004000000000001,0.5196000000000001,0.5246,0.4692,0.0,12.92,283.86,338.16,0.0,9.32,0
1,0.13683919958611737,129.3,0.6788385415106819,0.5429012447861076,0.6159769452173631,0.5058915650656188,0.7494546694144242,0.44615485444605396,0.0,3.92,492.48,519.82,0.0,2.28,0
2,0.16924971322722304,158.54,0.5845976444560084,0.6479054850839803,0.6162691288536767,0.3995469059178523,0.6604065469534851,0.5210080559266675,0.0,5.02,602.94,646.9,0.0,3.02,0
3,0.1991257908123482,265.44,0.5406085689100739,0.6904818196439328,0.6154622981514782,0.36544540147849686,0.6660921803796771,0.5832147821608218,0.0,3.08,1040.14,1069.76,0.0,2.22,0
4,0.21253890923629232,196.18,0.5821098722726002,0.6090218673938832,0.5992324095391277,0.3330277564029523,0.672123521232136,0.5896875677140136,0.0,5.96,738.72,811.36,0.0,3.86,0
5,0.2519123019823441,93.94,0.5590772579547327,0.6373840348720173,0.5637433726381174,0.43813489373424397,0.5860010782078569,0.5483305177635426,0.0,7.4,334.94,370.86,0.0,5.5,0
6,0.23010754001097286,161.76,0.38730532110052546,0.6487845482017083,0.692402272774097,0.6244202192351584,0.43416595864844815,0.5069162062167909,0.0,5.22,610.98,648.2,0.0,6.24,0
7,0.27234897312769196,108.32,0.6484145364564045,0.5882365068115653,0.7025052037550183,0.4180333719469877,0.47205772432795917,0.409196201473171,0.0,4.12,398.36,457.0,0.0,2.46,0
8,0.2903643337572215,164.0,0.34253471173717814,0.6014768588017287,0.6116162000935664,0.5956808861104961,0.627033510636847,0.37628835316370135,0.0,5.58,620.78,657.06,0.0,6.92,0
9,0.22925972973577424,260.14,0.30145466836093376,0.6093042122130954,0.5612423922905806,0.5886829312263774,0.6759790644950857,0.3506897070688714,0.0,7.44,985.7,1048.44,0.0,10.1,0
10,0.32136724463738714,129.48,0.3754629927367625,0.5779635479547309,0.5477323364185057,0.552713392091648,0.6425409266864938,0.3787812525332719,0.0,5.34,477.4,516.58,0.0,5.08,0
11,0.30939342671723563,194.56,0.33464627727628327,0.5908940727602476,0.5779953316429715,0.5704508633470792,0.6912081022600017,0.35384509373153683,0.0,7.48,727.34,781.68,0.0,8.66,0
12,0.28997296286976054,172.0,0.29160031905518957,0.6600024404888366,0.6021724342964945,0.5921499221105191,0.7096736052831909,0.2751898566723122,0.0,5.28,653.18,692.36,0.0,6.7,0
13,0.35586936408217407,273.42,0.3129538390202877,0.6331066591892097,0.5425511293109324,0.6403325885437855,0.6661423362210573,0.33760045234123637,0.0,7.74,1044.6,1109.76,0.0,9.62,0
14,0.32007707213154823,137.28,0.4895648251787593,0.5806475147834472,0.6482894832809688,0.4702541110407671,0.3979939261559602,0.5826719938828218,0.0,3.4,524.4,559.76,0.0,3.26,0
15,0.4136067484658325,251.72,0.4687513310467776,0.6574970023286616,0.5086016723484444,0.3927019543323118,0.39681337727847577,0.6083555170487593,0.0,9.9,953.54,997.48,0.0,8.34,0
16,0.41029944515377464,157.24,0.5281064035999633,0.6375088505161973,0.5363791365194535,0.43321864958146583,0.3666383213713288,0.6381372133327134,0.0,9.92,574.82,648.14,0.0,7.88,0
17,0.3435876762316255,135.6,0.498858348527205,0.6347444506008416,0.5572744525861143,0.3931329403283874,0.32774038120856874,0.5846479974254887,0.0,4.42,511.8,539.66,0.0,2.96,0
18,0.344371395491077,85.58,0.3478816648222992,0.6014653965339187,0.6811591653464467,0.28973596169463617,0.6409861228063994,0.44644629174615685,0.0,6.54,305.4,338.04,0.0,6.76,0
19,0.3885335371955858,92.84,0.39591337535335697,0.636709395926235,0.6982312811139313,0.38272030211878466,0.6086000706484843,0.47270917380496263,0.0,4.08,346.02,366.66,0.0,3.92,0
20,0.3232692843681228,138.0,0.38162535887346505,0.620108048081511,0.6862859644659625,0.3327208348900745,0.6536271722403587,0.4457613147398531,0.0,5.44,516.46,555.0,0.0,6.32,0
21,0.41348418595290826,127.7,0.3475003042957839,0.6630074000587974,0.7106773220900553,0.2479635215637812,0.6946599952516354,0.4910884315426406,0.0,4.04,474.9,527.46,0.0,4.18,0
22,0.36342365818248845,99.36,0.3723664215100952,0.6933759266040621,0.689056200286286,0.36552137170191423,0.6746908139360656,0.47372914429666557,0.0,5.7,364.98,399.52,0.0,4.9,0
23,0.435340991486316,78.22,0.42260053746110393,0.6130981210775858,0.6598536779454075,0.3851589071247111,0.6181537780180734,0.4927808006858671,0.0,5.78,282.52,310.58,0.0,5.08,0
24,0.40305839480051664,170.24,0.321320506908159,0.725538056967479,0.816944180485943,0.254317451557976,0.7635757477028109,0.48857518112219667,0.0,2.98,629.02,724.8,0.0,4.02,0
25,0.4398797782426216,89.96,0.35322985964713655,0.7132736699978938,0.782776746233488,0.2792251065205541,0.6806394466491719,0.4868854619215617,0.0,3.28,338.28,350.42,0.0,3.86,0
26,0.3794284442033496,123.88,0.3692826999591574,0.6645020009619145,0.7635033405981402,0.285448996650484,0.7137259478576081,0.46972546517615976,0.0,4.7,468.96,488.94,0.0,5.18,0
27,0.32019640237544095,101.56,0.4063880875378678,0.7221216570280015,0.7501913560882949,0.34765741588419147,0.677765433557441,0.5535128924526932,0.0,3.04,389.22,406.52,0.0,3.08,0
28,0.3925787317716406,104.54,0.5767813547788908,0.7094975672617463,0.5682453018918343,0.48294910912713074,0.6003304067877828,0.5793653897735371,0.0,13.76,156.16,246.18,0.0,163.56,0
29,0.349271761198182,105.54,0.5828986832821159,0.7038890793382764,0.5948288579795861,0.5541041643003511,0.4966654227062301,0.6670169647821751,0.0,5.4,381.04,424.62,0.0,4.02,0
30,0.346654825523596,93.26,0.6909344611204838,0.7332878952101968,0.6003431132204515,0.5856169513999846,0.5509815884848256,0.6659451201015947,0.0,4.84,347.76,373.92,0.0,2.76,0
31,0.3290887802262871,69.22,0.5913866836818403,0.8011760780313592,0.66638505412023,0.5736528398389913,0.576389976372359,0.7079928926013197,0.0,1.76,268.3,271.94,0.0,1.08,0
32,0.4510307618811946,60.62,0.6989120443012024,0.638752213395942,0.6647766266606472,0.6416825823083514,0.5340325237090406,0.7101453225192783,0.0,4.34,217.08,243.78,0.0,3.78,0
33,0.4292733988667524,41.8,0.7460494727167598,0.6673500600442992,0.6790078502149735,0.6810329798246174,0.5309018534912054,0.77280053559614,0.0,3.84,149.88,166.24,0.0,2.76,0
34,0.45309917969221225,185.86,0.7500345273844065,0.674380285852266,0.6215575192896847,0.670683394403377,0.48410168920445995,0.6661548754902598,0.0,5.98,699.02,766.72,0.0,3.72,0
35,0.4491501631228379,80.84,0.7093365618621543,0.604237716516892,0.7080881272394285,0.68308014544218,0.5596343786303806,0.7075165765755702,0.0,3.32,303.3,323.6,0.0,1.92,0
36,0.38276855328463294,49.38,0.711534360118512,0.5664672715918018,0.6800863182042073,0.7391591641789358,0.5179958827520234,0.7007864055153294,0.0,6.04,166.6,191.06,0.0,3.98,0
37,0.37443567105182873,72.38,0.729345223128258,0.5628333840345815,0.6680153795870308,0.6570127343826551,0.6113504291547706,0.6517823679604716,0.0,4.94,257.14,289.58,0.0,4.6,0
38,0.4131889082962845,89.54,0.7691655234995964,0.573755494062149,0.7190709711618727,0.7921861152724722,0.5016237405267734,0.7086205413113433,0.0,3.64,331.92,360.92,0.0,2.48,0
39,0.3689216034819945,93.02,0.7555313281694097,0.5697672450393896,0.69466048436529,0.7962971417604612,0.5068609084387024,0.718414854571176,0.0,3.84,337.34,374.14,0.0,2.24,0
40,0.36138964440082844,68.22,0.7498290725687727,0.5676382843469832,0.6512163503084999,0.7512904879576453,0.567009041701646,0.738554635707651,0.0,5.68,234.28,276.32,0.0,3.04,0
41,0.3511660672920347,102.22,0.4187635811290387,0.5582702361188967,0.6410313432145986,0.5614486305694697,0.36053792696643117,0.6284863066418768,0.0,5.36,367.96,427.68,0.0,3.98,0
42,0.41365489203213185,80.38,0.33312930523251244,0.6214419727826656,0.564832560289452,0.574845296294796,0.26181923926575645,0.732018077084247,0.0,5.82,288.38,323.58,0.0,4.42,0
43,0.43515472371976627,188.86,0.7004165682889197,0.7343334674564369,0.5266219630850921,0.5780662478093792,0.6475928100441253,0.5375001464552963,0.0,8.02,717.12,758.04,0.0,5.62,0
44,0.42142889369145076,146.3,0.6262704909764213,0.650580025137397,0.5188922096070488,0.5519019770186562,0.6499298016227927,0.5465852099904883,0.0,8.88,533.26,574.56,0.0,6.76,0
45,0.4521544660102058,122.64,0.5915769190054503,0.49451929928771954,0.5771318044206347,0.5098826999334746,0.36866152749257225,0.6905888052636111,0.0,8.16,425.68,495.86,0.0,4.8,0
46,0.42276215667243505,118.9,0.6956674909817403,0.7303296473144146,0.6103608852985003,0.6605653744518698,0.741826485130009,0.5438434955126136,0.0,3.76,440.78,468.48,0.0,3.06,0
47,0.4352019323806664,208.32,0.7352057260515855,0.796754959390205,0.5302675156109006,0.6295630973654291,0.785468871455903,0.5412638063882157,0.0,4.8,807.86,841.74,0.0,3.12,0
48,0.4369462748577711,135.02,0.6796633077487333,0.7202722671802456,0.6165492940600077,0.5752493269802595,0.7612350930714724,0.5125526433409666,0.0,2.94,521.2,542.16,0.0,1.52,0
49,0.32157143798467996,142.72,0.7187716661056798,0.7155764033562138,0.5813172541067313,0.6639999485552073,0.7045631512761706,0.5241267330934224,0.0,4.72,529.84,598.98,0.0,2.8,0
