generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.1265590302670733,256.42,0.4746,0.5108,0.4768,0.5898,0.5009999999999999,0.491,0.0,21.42,373.54,633.02,0.0,407.22,0
1,0.12653565206320475,312.18,0.5898403739423171,0.48720003005455387,0.7326097295963954,0.6212178258364908,0.5167806429517645,0.632476134139643,0.0,2.36,1151.2,1319.42,0.0,4.72,0
2,0.13564796344832977,78.36,0.6362834381084719,0.5437413524800637,0.7691919034688849,0.5899064974800694,0.6382324219427964,0.6469187834522786,0.0,1.98,287.74,337.6,0.0,1.2,0
3,0.16342093329697172,126.9,0.5785007268156747,0.38747334550092993,0.732431177747808,0.6326175803775094,0.676456558954654,0.6558188611300518,0.0,2.06,477.32,510.46,0.0,2.8,0
4,0.18132778680298509,88.14,0.5241238731698303,0.42675465846622757,0.7436279189235765,0.5272874662235519,0.6786900187307576,0.6397170088638842,0.0,1.74,326.84,374.8,0.0,1.84,0
5,0.20135338617916457,106.02,0.5646236044751523,0.47704275893947373,0.7475594228430339,0.4191328325666068,0.6250895194472348,0.6638433230235365,0.0,2.04,402.48,442.88,0.0,1.34,0
6,0.20938678546273304,96.7,0.7281424523069506,0.5541005263232232,0.8154094995575263,0.33304249297264427,0.5179440005234199,0.7094703861246237,0.0,1.0,380.46,390.12,0.0,0.28,0
7,0.25063959086447235,145.66,0.7835412435767886,0.6167776812592255,0.729457447383227,0.1681995688856133,0.44466752969404,0.6395817967851971,0.0,2.68,561.6,592.5,0.0,1.54,0
8,0.26930478074752023,77.6,0.7815524036007271,0.6054013299408137,0.7541885866569643,0.19744671394045973,0.4509733824691786,0.6609162230822072,0.0,2.32,299.14,314.1,0.0,1.0,0
9,0.2530235474984638,90.12,0.757817854624356,0.6317449012631599,0.7784090583386635,0.18853597009460624,0.46766353529938826,0.639849220686036,0.0,1.32,346.3,356.66,0.0,0.8,0
10,0.3170039135989599,103.5,0.7458096363119124,0.6205621335811778,0.6612226057699908,0.2568618097175107,0.44085808161679685,0.6171289619574556,0.0,3.72,393.34,408.3,0.0,2.16,0
11,0.2694166744619448,60.72,0.7279774020273251,0.6504949429558742,0.7103618777108021,0.22956477807993964,0.4608947552399464,0.6368484414804982,0.0,3.94,223.24,236.38,0.0,2.68,0
12,0.2984663122909097,113.94,0.6660888326316464,0.5827453799907653,0.6587140000458903,0.28517274112084534,0.47435082269352213,0.580082093782467,0.0,4.28,436.0,449.8,0.0,2.48,0
13,0.33199051455574435,114.4,0.6329984398096515,0.590380438810054,0.6064209578278469,0.38020078875822677,0.44516133654194867,0.6083966008867132,0.0,7.72,406.78,447.76,0.0,6.04,0
14,0.25212831812989195,118.7,0.5940198083644572,0.5803199518880912,0.6633164840886927,0.36135771048358734,0.5985282742365866,0.5690768700975788,0.0,2.02,439.04,512.5,0.0,1.64,0
15,0.2982403922251008,133.76,0.5161831609276856,0.6263217548887794,0.7037050162144481,0.4178505243726343,0.6402922689324688,0.5510182327357627,0.0,3.08,512.6,537.42,0.0,2.74,0
16,0.34403986122989705,62.7,0.5802128852005264,0.611870942480664,0.7306399228604772,0.3721005893923684,0.5284174926947142,0.5821600361852688,0.0,1.66,238.66,252.0,0.0,1.36,0
17,0.30757418608561315,83.72,0.5779557838598811,0.5558871195677466,0.7265336668780387,0.34201556897875635,0.5351826318091508,0.578810404429975,0.0,1.62,320.1,334.1,0.0,1.04,0
18,0.3582254713010435,115.42,0.6253144534083438,0.55378790521623,0.6610122783230988,0.2610016449339478,0.45874977443248427,0.557697689199903,0.0,4.16,436.48,454.76,0.0,3.0,0
19,0.3408404472563928,46.58,0.6509863995287982,0.5923141805013433,0.6743730664513453,0.2711156562009791,0.5019974593019075,0.5697198088651408,0.0,2.14,167.38,194.94,0.0,1.4,0
20,0.3935780649016042,92.88,0.6648159870775612,0.5997845230143033,0.7157279272920785,0.23292201797737946,0.46405107008739305,0.5225917043202982,0.0,2.88,355.48,374.14,0.0,1.54,0
21,0.2983074626755141,110.26,0.8057811442112228,0.5498595650872612,0.791583303453521,0.15202417841245525,0.3885390225060209,0.5938968869174702,0.0,1.3,424.42,434.4,0.0,0.96,0
