generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.12523843577542232,244.9,0.4932,0.5146000000000001,0.4842000000000001,0.4472,0.4912,0.4914,0.0,24.36,344.04,573.08,0.0,392.64,0
1,0.1374287813624263,134.54,0.5011871524352053,0.6022692497803157,0.5886081505873721,0.5379808004887281,0.47917537057223186,0.529029077154014,0.0,7.72,486.62,556.86,0.0,5.74,0
2,0.1543248733265202,174.54,0.5645047508561056,0.5850633534189913,0.5641032313213934,0.3968896951557223,0.37035641920475426,0.5637968051753659,0.0,4.6,653.3,716.68,0.0,3.64,0
3,0.16533846997754906,155.3,0.6050523255304794,0.5233319374518934,0.5358589371011984,0.42897278091829655,0.40654360827723574,0.5493201147316843,0.0,5.82,580.1,637.46,0.0,3.34,0
4,0.1865645098323616,141.56,0.6014808351606206,0.5732079892940501,0.524426832800469,0.47702177565727605,0.44488767374516003,0.48031220688298754,0.0,12.52,484.78,558.24,0.0,11.06,0
5,0.20524904433905913,108.44,0.4793379308263138,0.5227584166290474,0.5970381706103666,0.5135085287818691,0.5975237659538892,0.5481902818813408,0.0,7.6,374.22,419.78,0.0,6.68,0
6,0.19753236089495949,126.04,0.45349926967168996,0.5358186741830605,0.6351220710937596,0.5196342872767814,0.4758470300104104,0.5294148032486222,0.0,6.42,448.64,508.1,0.0,6.28,0
7,0.2166377094078059,93.94,0.5003318530760845,0.5458833675561547,0.6349498813877179,0.5148537744580115,0.4925740197871649,0.5225737420772208,0.0,7.52,312.26,387.16,0.0,5.64,0
8,0.21780213801835088,86.96,0.5216901087409344,0.5003170396607466,0.6170935122239442,0.4619884993483159,0.5158309329939207,0.48889811877049216,0.0,5.24,311.98,352.76,0.0,3.94,0
9,0.27668348591871417,180.36,0.5027094216769339,0.5629062310703309,0.59590301079282,0.3629789145468933,0.48818432368409426,0.5429762265570612,0.0,4.1,687.96,737.92,0.0,3.18,0
10,0.2733780638598621,215.06,0.5261843216189647,0.6150561840145214,0.5401917746129673,0.3555391920945683,0.5064099372823838,0.5909943196400215,0.0,7.42,806.7,863.5,0.0,7.58,0
11,0.2434891423011452,149.02,0.42618552795347797,0.5811721310031406,0.6036986962043531,0.48056114627627367,0.5535892467791849,0.5138873722109367,0.0,6.7,558.22,595.76,0.0,6.8,0
12,0.32480052623917255,201.18,0.5132568793354906,0.5562751659458224,0.5385746124407845,0.5246590269184602,0.5410481213661975,0.5035339581582483,0.0,13.62,716.38,793.84,0.0,14.8,0
13,0.305166253326493,194.78,0.5210469266445095,0.5385243056106372,0.5609378599599149,0.4187962912905383,0.5199990126310566,0.5046922071237363,0.0,6.62,701.68,815.98,0.0,6.36,0
14,0.35020711570481994,60.62,0.3995261600355255,0.547068153184459,0.6040302672719352,0.46484394041317306,0.5254447666975409,0.4836369331581934,0.0,5.0,214.54,242.52,0.0,3.9,0
15,0.35865322035828734,144.92,0.30752933609736144,0.5465994376811989,0.5993777763411849,0.41971555361907215,0.5319378285767147,0.49575992806968855,0.0,6.16,520.4,568.0,0.0,6.56,0
16,0.31614858381201594,274.72,0.3262577194848455,0.5836022091131837,0.6007432689909704,0.38982053070809164,0.551861381868929,0.5074694305776846,0.0,5.16,1035.18,1137.3,0.0,7.84,0
17,0.30592875461163316,89.38,0.5309408884221885,0.689927037088493,0.6308468328598209,0.4665484790821621,0.6404276012917225,0.6333927497984749,0.0,2.6,319.88,371.76,0.0,1.76,0
18,0.35956020026843905,82.92,0.5956844006874011,0.5903142148470436,0.5484786655126936,0.4670669640896951,0.5937297082859544,0.6964198174181522,0.0,7.84,292.18,338.4,0.0,6.44,0
19,0.2970195823035741,95.94,0.6612547416532388,0.6295867624694567,0.5786389320340424,0.5270436308182126,0.5594346579453638,0.6809422368670185,0.0,6.66,337.68,400.98,0.0,4.88,0
20,0.3358494781988923,99.36,0.6461168457730302,0.6401554331755814,0.6552444848937655,0.5782021068651921,0.6044311906823041,0.6411652297020123,0.0,3.4,370.72,407.36,0.0,2.7,0
21,0.372173049575858,64.9,0.5468782287479564,0.6096893444156374,0.6800297170068351,0.5915901434313741,0.5727508553631937,0.6378589929793246,0.0,3.6,232.66,251.52,0.0,1.78,0
22,0.3485085202661582,182.96,0.6507468432116852,0.6211685389683828,0.6168604727718968,0.564733625696365,0.5971068145829102,0.6749823115324367,0.0,7.6,685.62,734.06,0.0,6.48,0
23,0.40667769692491584,104.26,0.5260002619267933,0.6413297169833316,0.627792795961227,0.5347640190248486,0.5393829654022835,0.5505633502353453,0.0,4.86,381.88,430.8,0.0,3.2,0
24,0.35575821630159404,88.2,0.6003964823674334,0.6309788680951869,0.601106267593824,0.5562420720822332,0.5005491141183183,0.6392913924623548,0.0,7.58,311.84,351.96,0.0,6.78,0
25,0.4120752981115452,272.04,0.4249676266031058,0.6110138860687415,0.6286419318485922,0.5477353146331221,0.44176190447488745,0.6224106249719122,0.0,6.84,1018.0,1076.98,0.0,9.68,0
26,0.36967949066035255,111.7,0.4584327793297537,0.510985682908396,0.5442455465758392,0.5889881770186942,0.5459563644426525,0.6278762165912201,0.0,11.38,371.3,454.6,0.0,12.12,0
27,0.37972892295761523,337.68,0.5100960331615839,0.49541791379655437,0.4843640182576879,0.5828697337556011,0.5858328844453186,0.5206203491232696,0.0,10.14,1243.04,1387.7,0.0,8.02,0
28,0.37900115472855656,166.48,0.5066016251498013,0.49591488702142106,0.5533605327410185,0.61118289444086,0.5106685613604092,0.487420052155065,0.0,8.6,602.34,667.46,0.0,6.82,0
29,0.4436602662968722,69.96,0.5636914399651078,0.39520376223853293,0.5508333475125773,0.543209881600702,0.4553915891674858,0.5027557790381596,0.0,9.44,227.96,267.02,0.0,7.36,0
30,0.4005134984058619,115.5,0.4860800198350791,0.5039673086478911,0.592492067581421,0.5316724659381921,0.4498331773959782,0.5142112266099741,0.0,7.76,394.0,486.62,0.0,5.66,0
31,0.3210892699205181,94.14,0.47669336282007585,0.5273832266483618,0.6676525086122065,0.5054647865604832,0.5277690748000704,0.5520587680960457,0.0,3.62,327.22,402.78,0.0,2.36,0
32,0.4377613374629092,107.48,0.545173878835994,0.5678304343581299,0.610848671268466,0.4478279775847249,0.5873562329393398,0.46917503663675475,0.0,6.38,389.2,433.28,0.0,4.64,0
33,0.3625256055786975,127.46,0.5432235263549184,0.5152885747584312,0.6157764595302858,0.47698186905234896,0.48866710404850777,0.4613204404299676,0.0,3.68,461.94,514.6,0.0,2.5,0
34,0.41353624845549325,128.56,0.5327950715382811,0.5254380324275172,0.6308276322487177,0.49829703104423445,0.4390715839990713,0.4668551101174664,0.0,6.74,462.0,517.18,0.0,5.98,0
35,0.4263457498973754,104.52,0.5184263669377668,0.53704175276776,0.6259045754365891,0.4691076667467987,0.6003768123890098,0.45873572009858116,0.0,5.44,380.5,427.82,0.0,3.74,0
36,0.3970027180495348,157.56,0.44032515010160045,0.5706611721940841,0.6064368453661555,0.4931229198501199,0.6480037522758725,0.38641456295782767,0.0,6.32,583.34,626.64,0.0,6.18,0
37,0.3744208696816865,84.54,0.3929139637981774,0.5028191368506348,0.6025554877716938,0.4970853517127056,0.5581545276109189,0.522521600180809,0.0,7.38,294.06,325.5,0.0,6.76,0
38,0.36107312146751175,154.48,0.41932679388849226,0.5394095454141008,0.604207916005615,0.5601801563360788,0.5499133792508097,0.4532747421796024,0.0,7.46,543.88,626.8,0.0,7.1,0
39,0.4528085437324571,175.46,0.5200868817434984,0.5826086110974302,0.5194085365871377,0.551434859945084,0.554676614673587,0.41173006035660237,0.0,15.2,611.74,696.62,0.0,12.54,0
40,0.40164565675604896,215.6,0.5190519029208277,0.5809899981981278,0.5326269611733845,0.48221641442752305,0.5200775934742922,0.3973283582981423,0.0,10.98,760.88,898.38,0.0,9.94,0
41,0.3762611458156726,136.26,0.4911898712158457,0.6172283858963151,0.6190416487159365,0.3598487378457287,0.5655994711581104,0.5458266944773036,0.0,4.32,506.86,560.66,0.0,4.0,0
42,0.4253188594200236,235.44,0.4516544562985839,0.5740204610199412,0.5946913332140181,0.3802302122166262,0.5224127675180434,0.6421711973617721,0.0,4.82,901.18,934.78,0.0,5.34,0
43,0.41457230951240814,80.86,0.45162409315769203,0.5690929701574583,0.6571439779232022,0.4775465078702182,0.5850247972189888,0.5376542148024669,0.0,3.88,294.36,326.02,0.0,2.84,0
44,0.40363150911166135,82.8,0.44140924629659056,0.6489247528178863,0.6615979264669144,0.5816112888439995,0.6254993919522437,0.38526240849728377,0.0,5.04,301.66,332.22,0.0,4.08,0
45,0.39309259208559943,117.54,0.3965176456859399,0.6276480303522544,0.6268709639009296,0.5925144752010817,0.6310498854589993,0.49762690476232874,0.0,5.76,427.68,474.74,0.0,4.64,0
46,0.3944404063583359,129.82,0.38641548158817995,0.5960007121794217,0.6456183020572189,0.5749462474929531,0.6404755942240624,0.5484023550603955,0.0,4.64,478.72,514.98,0.0,4.48,0
47,0.36629142323138836,60.6,0.4229618340997617,0.5281983544882373,0.5941702815977692,0.48606408020773434,0.4798827041533136,0.4931926098075139,0.0,6.96,194.8,259.18,0.0,5.04,0
48,0.35957079282790017,148.44,0.3615832052852344,0.5184199173980424,0.67680814091164,0.48350582436252976,0.5455383760121851,0.5734549523631207,0.0,3.16,547.36,621.32,0.0,4.04,0
49,0.39325221919401115,138.8,0.4457650015727427,0.5362668246415648,0.6029342597439534,0.4943703527020159,0.463767366919893,0.6130815758249832,0.0,7.12,487.78,551.16,0.0,6.46,0
