generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.12190514140925415,108.54,0.4838,0.511,0.43440000000000006,0.5044000000000001,0.5234,0.48260000000000003,0.0,13.14,365.24,429.46,0.0,11.46,0
1,0.1393266428486723,68.16,0.5018490404053366,0.4394181501223145,0.6079643047155633,0.5736293253488305,0.5596314249800263,0.5823780189545861,0.0,9.52,222.14,273.6,0.0,8.94,0
2,0.2054316399914195,94.52,0.5548376159924707,0.4861070043353509,0.5531959103571732,0.5832768830345665,0.6001519474962311,0.5532777149398327,0.0,8.76,323.64,371.98,0.0,7.88,0
3,0.24641462564757777,148.7,0.45627943362961004,0.5814101974719164,0.5644693083199993,0.3922514733088237,0.5759374313881982,0.548358198577573,0.0,9.62,530.16,598.46,0.0,9.24,0
4,0.2617575523986519,155.46,0.5697464910119012,0.43269315478464376,0.5024159517018689,0.43694024126307723,0.576547020659277,0.4250429829462419,0.0,9.9,552.1,615.42,0.0,7.08,0
5,0.31571185309639493,212.24,0.6160423877720913,0.582444484674241,0.5177821396072236,0.5582049958127917,0.42076999216136884,0.6043388871075376,0.0,12.66,778.68,830.5,0.0,8.92,0
6,0.361325838034672,163.16,0.5541027476858242,0.3970224764132408,0.540527159719958,0.581743218913438,0.4529015603419382,0.5177865822516654,0.0,8.8,582.72,649.68,0.0,6.38,0
7,0.3465976737643729,114.16,0.5655444171917765,0.5632478725653356,0.5418621476468948,0.5931772851590675,0.5234056450189332,0.6091939789530378,0.0,10.64,399.98,458.44,0.0,8.14,0
8,0.3782954932470529,145.04,0.560610213095941,0.5210456983176793,0.5271785060339441,0.6216306689420332,0.6173972750103708,0.5140418270065841,0.0,9.26,522.24,578.7,0.0,6.22,0
9,0.39765767719301515,106.02,0.5102032811556714,0.5235982822028601,0.5656792339680633,0.5817392024205597,0.5435651358069343,0.48116460169666164,0.0,11.32,357.22,429.74,0.0,8.92,0
10,0.41904026648743065,126.0,0.5630788495584148,0.5822507726633774,0.6044785108094302,0.6327217106533142,0.45507127030020883,0.5776997328083072,0.0,5.24,457.34,503.88,0.0,4.04,0
11,0.44361471445390693,78.4,0.5769996901165413,0.510492401920667,0.4984907226943603,0.5916340950445684,0.4204941007287084,0.5813864590593667,0.0,10.52,257.74,315.16,0.0,6.5,0
12,0.4733911274898049,190.02,0.5711246330749831,0.5608194154246943,0.6145496820295141,0.6630939864934245,0.3717546032748894,0.6269223545937427,0.0,4.38,729.46,772.76,0.0,3.28,0
13,0.4868500165463869,88.38,0.4849029933163139,0.6060964786635544,0.5791821266873,0.5875171988096141,0.4439580897536979,0.5329256993052505,0.0,7.46,305.98,342.94,0.0,5.66,0
14,0.46614659751177884,82.48,0.5332776610248849,0.5835276064633887,0.6168646835246184,0.45771110064182674,0.550861247951003,0.5247460604553551,0.0,5.74,287.02,313.1,0.0,3.64,0
15,0.5117710187770705,130.66,0.5120889814813612,0.5078421037000832,0.5793338124003491,0.4105683657958022,0.5407600342897496,0.5730430624311031,0.0,6.52,488.26,522.34,0.0,4.42,0
16,0.5187625882305972,59.22,0.5579588296908082,0.5314911051160579,0.6133577808393228,0.3646027033088986,0.5727247345967443,0.5850997877654571,0.0,5.12,210.66,240.88,0.0,2.88,0
17,0.5594684466068386,148.36,0.5089908610025037,0.5557329131853035,0.4856733524647004,0.5198876090819731,0.5211315534703196,0.5643715418406832,0.0,11.32,534.0,599.56,0.0,6.86,0
18,0.5229242088523565,154.98,0.45649003837492663,0.5211905068181952,0.5568009016928986,0.4700127918787135,0.4264588362821726,0.5679426570997028,0.0,5.48,556.7,657.68,0.0,3.98,0
19,0.5121437190665149,270.24,0.6033452073371468,0.3708271361501591,0.5042096238372191,0.5892707767498265,0.46110857092406937,0.5077812766965212,0.0,9.44,987.86,1090.28,0.0,7.24,0
20,0.5558452335609411,178.88,0.6375739418323314,0.3514229657731843,0.47478214547126546,0.604337612079055,0.5341122783881196,0.5359863629973349,0.0,9.12,623.54,767.92,0.0,4.5,0
