lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
913f59d2-e9e,generation_-1,dad745c6,0.0,0.0,0.0,0,,0.8,0.3,0.31,0.07,0.27,0.23,0,0,0,0,0,0,0
913f59d2-e9e,generation_0,dad745c6,-0.0004761904761904825,0.02761904761904761,0.0,21,0.0,0.8,0.3,0.31,0.07,0.27,0.23,20,26,59,0,0,0,0
28649e15-57e,generation_-1,2b5e3838,0.0,0.0,0.0,0,,0.19,0.46,0.46,0.7,0.42,0.78,0,0,0,0,0,0,0
28649e15-57e,generation_0,2b5e3838,0.16475133894414687,0.08996174445294565,0.0,1307,0.0,0.19,0.46,0.46,0.7,0.42,0.78,293,3350,1709,0,0,0,0
6e0d2937-92d,generation_-1,09d0a09e,0.0,0.0,0.0,0,,0.56,0.95,0.8,0.8,0.56,0.8,0,0,0,0,0,0,0
6e0d2937-92d,generation_0,09d0a09e,0.21088607594936712,0.10936708860759492,0.0,79,0.0,0.56,0.95,0.8,0.8,0.56,0.8,2,0,298,306,0,0,0
4921d6c6-058,generation_-1,955fcd58,0.0,0.0,0.0,0,,0.2,0.2,0.26,0.13,0.96,0.13,0,0,0,0,0,0,0
4921d6c6-058,generation_0,955fcd58,0.046944444444444455,0.04722222222222221,0.0,18,0.0,0.2,0.2,0.26,0.13,0.96,0.13,18,11,46,0,0,0,0
c59ddb6d-9a5,generation_-1,3b9484b1,0.0,0.0,0.0,0,,0.99,0.93,0.99,0.85,0.45,0.35,0,0,0,0,0,0,0
c59ddb6d-9a5,generation_0,3b9484b1,-0.043333333333333335,0.033333333333333326,0.0,3,0.0,0.99,0.93,0.99,0.85,0.45,0.35,0,0,9,13,0,0,0
ca49384f-ab8,generation_-1,113a64fc,0.0,0.0,0.0,0,,0.59,0.35,0.66,0.91,0.17,0.48,0,0,0,0,0,0,0
ca49384f-ab8,generation_0,113a64fc,0.06546296296296296,0.053148148148148146,0.0,27,0.0,0.59,0.35,0.66,0.91,0.17,0.48,3,0,167,51,0,0,0
23901b2f-4d9,generation_-1,4cf62855,0.0,0.0,0.0,0,,0.35,0.99,0.11,0.86,0.91,0.46,0,0,0,0,0,0,0
23901b2f-4d9,generation_0,4cf62855,0.06666666666666667,0.05333333333333332,0.0,30,0.0,0.35,0.99,0.11,0.86,0.91,0.46,29,20,94,3,0,0,0
520a0614-454,generation_-1,e3c3a5e8,0.0,0.0,0.0,0,,0.11,0.32,0.35,0.93,0.75,0.3,0,0,0,0,0,0,0
520a0614-454,generation_0,e3c3a5e8,0.07027777777777777,0.05388888888888888,0.0,45,0.0,0.11,0.32,0.35,0.93,0.75,0.3,42,63,140,0,0,0,0
7e3ca56a-8e5,generation_-1,6a3b21ef,0.0,0.0,0.0,0,,0.21,0.1,0.36,0.33,0.98,0.53,0,0,0,0,0,0,0
7e3ca56a-8e5,generation_0,6a3b21ef,0.0645,0.05299999999999999,0.0,25,0.0,0.21,0.1,0.36,0.33,0.98,0.53,22,36,79,0,0,0,0
20f245b2-d53,generation_-1,1311de06,0.0,0.0,0.0,0,,0.48,0.63,0.42,0.45,0.58,0.55,0,0,0,0,0,0,0
20f245b2-d53,generation_0,1311de06,0.10145833333333333,0.06791666666666664,0.0,24,1.0,0.48,0.63,0.42,0.45,0.58,0.55,23,39,70,0,0,0,0
73491904-eff,generation_-1,aa4a1350,0.0,0.0,0.0,0,,0.6,0.37,0.34,0.26,0.25,0.37,0,0,0,0,0,0,0
73491904-eff,generation_0,aa4a1350,0.06336683417085427,0.049748743718592954,0.0,199,1.0,0.6,0.37,0.34,0.26,0.25,0.37,64,517,231,4,0,0,0
32fcd80e-6e7,generation_-1,67622c79,0.0,0.0,0.0,0,,0.58,0.89,0.75,0.89,0.91,0.83,0,0,0,0,0,0,0
32fcd80e-6e7,generation_0,67622c79,0.28531249999999997,0.13312499999999997,0.0,80,1.0,0.58,0.89,0.75,0.89,0.91,0.83,0,0,275,312,0,0,0
