lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
f5a62e0c-147,generation_-1,ca53b699,0.0,0.0,0.0,0,,0.81,0.86,0.32,0.1,0.8,0.37,0,0,0,0,0,0,0
f5a62e0c-147,generation_0,ca53b699,0.1088679245283019,0.06905660377358488,0.0,53,0.0,0.81,0.86,0.32,0.1,0.8,0.37,48,37,220,13,0,0,0
11257626-b89,generation_-1,9e34d479,0.0,0.0,0.0,0,,0.61,0.93,0.61,0.57,0.38,0.54,0,0,0,0,0,0,0
11257626-b89,generation_0,9e34d479,0.037916666666666675,0.04583333333333332,0.0,12,0.0,0.61,0.93,0.61,0.57,0.38,0.54,0,0,49,48,0,0,0
222f4d04-4f4,generation_-1,d74146cd,0.0,0.0,0.0,0,,0.77,0.91,0.42,0.13,0.85,0.1,0,0,0,0,0,0,0
222f4d04-4f4,generation_0,d74146cd,0.2082291666666667,0.10895833333333331,0.0,48,0.0,0.77,0.91,0.42,0.13,0.85,0.1,44,40,185,8,0,0,0
b4d38171-771,generation_-1,008e18c7,0.0,0.0,0.0,0,,0.18,0.48,0.76,0.52,0.12,0.48,0,0,0,0,0,0,0
b4d38171-771,generation_0,008e18c7,0.20836734693877554,0.10897959183673468,0.0,49,0.0,0.18,0.48,0.76,0.52,0.12,0.48,1,0,166,189,0,0,0
8842c90a-d1e,generation_-1,c8e80305,0.0,0.0,0.0,0,,0.61,0.83,0.54,0.04,0.11,0.1,0,0,0,0,0,0,0
8842c90a-d1e,generation_0,c8e80305,0.21175000000000002,0.1095,0.0,100,0.0,0.61,0.83,0.54,0.04,0.11,0.1,0,0,407,396,0,0,0
414babdd-91c,generation_-1,c433c8b6,0.0,0.0,0.0,0,,0.56,0.58,0.8,0.48,0.19,0.86,0,0,0,0,0,0,0
414babdd-91c,generation_0,c433c8b6,0.024375,0.04374999999999999,0.0,8,0.0,0.56,0.58,0.8,0.48,0.19,0.86,0,0,22,31,0,0,0
e51bd41d-fb1,generation_-1,d48d3c03,0.0,0.0,0.0,0,,0.06,0.48,0.07,0.98,0.95,0.74,0,0,0,0,0,0,0
e51bd41d-fb1,generation_0,d48d3c03,0.09588235294117647,0.06705882352941174,0.0,17,0.0,0.06,0.48,0.07,0.98,0.95,0.74,17,14,55,0,0,0,0
81e75071-4b9,generation_-1,30ed1f52,0.0,0.0,0.0,0,,0.97,0.71,0.76,0.98,0.37,0.34,0,0,0,0,0,0,0
81e75071-4b9,generation_0,30ed1f52,0.21393790849673205,0.10983660130718953,0.0,306,0.0,0.97,0.71,0.76,0.98,0.37,0.34,0,0,1219,1211,0,0,0
6938a25f-c03,generation_-1,4389ad2f,0.0,0.0,0.0,0,,0.82,0.31,0.09,0.09,0.84,0.32,0,0,0,0,0,0,0
6938a25f-c03,generation_0,4389ad2f,0.04000000000000001,0.04615384615384615,0.0,13,0.0,0.82,0.31,0.09,0.09,0.84,0.32,13,4,46,0,0,0,0
a8de832f-08d,generation_-1,dcb6d07d,0.0,0.0,0.0,0,,0.05,0.01,0.79,0.63,0.65,0.24,0,0,0,0,0,0,0
a8de832f-08d,generation_0,dcb6d07d,0.26850215517241377,0.13053879310344824,0.0,464,0.0,0.05,0.01,0.79,0.63,0.65,0.24,0,14,1556,1743,0,0,0
